#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
3.614713e-02	1.693190e-02	2.871027e-04	1.362466e-03
3.983606e-02	1.522490e-02	2.006607e-04	1.950819e-03
4.381213e-02	1.713970e-02	2.195073e-04	2.278757e-03
4.770464e-02	1.682082e-02	2.148058e-04	9.110306e-04
5.156459e-02	1.703137e-02	9.847452e-05	1.286806e-03
5.566681e-02	1.758402e-02	1.469436e-04	1.030804e-03
5.943638e-02	1.573359e-02	1.374113e-04	4.011342e-04
6.312662e-02	1.627527e-02	1.002613e-04	1.562042e-03
6.735313e-02	1.611369e-02	1.211157e-04	1.100969e-03
7.120551e-02	1.682594e-02	1.245328e-04	1.724561e-03
7.532443e-02	1.715035e-02	8.522870e-05	1.143571e-03
7.923404e-02	1.771602e-02	1.243221e-04	7.987438e-04
8.305444e-02	1.779212e-02	1.101862e-04	1.304079e-03
8.697382e-02	1.887063e-02	9.041841e-05	7.645273e-04
9.084671e-02	1.829399e-02	1.317767e-04	9.514747e-04
9.493327e-02	1.887069e-02	1.224731e-04	8.306969e-04
9.874097e-02	1.799241e-02	1.397051e-04	7.782414e-04
1.028531e-01	1.964552e-02	7.660347e-05	1.127262e-03
1.066631e-01	2.077187e-02	5.629709e-05	1.255447e-03
1.106517e-01	2.199188e-02	5.978717e-05	7.830336e-04
1.146790e-01	2.258889e-02	8.373706e-05	1.018251e-03
1.184706e-01	2.562263e-02	5.722547e-05	7.101049e-04
1.223942e-01	2.514925e-02	7.449439e-05	1.103076e-03
1.263868e-01	2.747929e-02	7.434720e-05	1.172507e-03
1.303396e-01	2.968831e-02	1.179720e-04	7.838405e-04
1.343054e-01	2.988723e-02	5.984221e-05	6.788604e-04
1.382091e-01	3.160255e-02	5.493057e-05	9.430748e-04
1.421670e-01	3.193134e-02	5.103997e-05	1.263001e-03
1.460840e-01	3.726981e-02	4.665924e-05	8.588466e-04
1.500320e-01	3.485398e-02	6.629707e-05	6.959739e-04
1.538558e-01	3.834409e-02	4.829616e-05	1.465669e-03
1.578156e-01	4.426430e-02	5.048043e-05	1.347988e-03
1.617521e-01	4.496207e-02	7.222324e-05	9.200494e-04
1.657065e-01	4.713988e-02	5.770950e-05	1.495987e-03
1.695293e-01	5.006719e-02	4.929916e-05	1.683817e-03
1.735621e-01	5.622707e-02	4.552996e-05	2.296438e-03
1.775641e-01	5.877386e-02	3.766807e-05	1.841806e-03
1.814357e-01	6.337034e-02	5.044792e-05	1.670958e-03
1.854650e-01	6.675981e-02	3.459515e-05	1.063166e-03
1.892986e-01	7.234810e-02	4.813907e-05	1.794159e-03
1.932225e-01	7.665377e-02	5.252186e-05	1.681661e-03
1.971682e-01	8.172275e-02	5.068869e-05	1.471343e-03
2.011396e-01	9.129263e-02	3.470819e-05	2.325758e-03
2.050161e-01	9.690996e-02	2.666512e-05	1.418876e-03
2.090235e-01	1.024814e-01	2.812076e-05	1.906574e-03
2.128656e-01	1.092764e-01	3.942056e-05	2.136627e-03
2.168362e-01	1.143535e-01	2.240666e-05	2.011536e-03
2.207482e-01	1.237465e-01	3.264657e-05	2.314883e-03
2.247020e-01	1.288178e-01	4.020746e-05	2.249802e-03
2.286541e-01	1.397739e-01	2.743745e-05	3.403443e-03
2.326126e-01	1.475645e-01	2.276725e-05	2.230441e-03
2.364814e-01	1.570992e-01	4.287346e-05	1.880237e-03
2.404087e-01	1.672455e-01	3.292610e-05	1.899979e-03
2.443796e-01	1.738457e-01	1.941545e-05	2.272467e-03
2.482842e-01	1.842464e-01	2.281045e-05	2.016008e-03
2.521900e-01	1.931348e-01	1.416238e-05	2.193311e-03
2.561959e-01	1.994792e-01	2.959508e-05	2.435260e-03
2.601206e-01	2.112563e-01	3.239971e-05	1.830991e-03
2.640469e-01	2.195041e-01	2.428400e-05	1.791380e-03
2.680239e-01	2.301648e-01	1.637501e-05	1.271584e-03
2.719289e-01	2.357303e-01	2.257398e-05	2.095768e-03
2.759063e-01	2.456252e-01	1.466984e-05	1.343388e-03
2.798005e-01	2.514004e-01	1.079744e-05	1.480796e-03
2.836526e-01	2.633176e-01	1.568141e-05	1.197223e-03
2.876677e-01	2.709961e-01	1.607457e-05	1.779716e-03
2.916512e-01	2.810751e-01	2.195156e-05	1.546110e-03
2.955108e-01	2.862730e-01	1.612152e-05	1.472163e-03
2.994244e-01	2.961932e-01	1.505896e-05	1.340485e-03
3.033773e-01	3.031055e-01	1.289076e-05	1.570179e-03
3.073151e-01	3.122928e-01	1.459285e-05	9.024063e-04
3.112740e-01	3.183344e-01	1.553970e-05	9.123314e-04
3.152234e-01	3.275832e-01	1.009446e-05	1.437018e-03
3.191502e-01	3.338394e-01	1.808593e-05	1.061263e-03
3.230423e-01	3.409482e-01	1.230380e-05	1.230854e-03
3.269819e-01	3.465174e-01	1.330437e-05	1.319881e-03
3.309426e-01	3.543405e-01	1.474656e-05	1.094837e-03
3.348605e-01	3.608671e-01	1.229081e-05	1.108637e-03
3.388052e-01	3.672339e-01	1.471451e-05	9.415294e-04
3.427198e-01	3.722465e-01	1.487079e-05	1.160680e-03
3.466758e-01	3.776075e-01	1.987362e-05	1.004944e-03
3.506109e-01	3.847544e-01	8.257421e-06	9.425197e-04
3.545463e-01	3.895911e-01	1.786352e-05	8.069719e-04
3.584656e-01	3.947908e-01	7.878933e-06	7.677529e-04
3.623894e-01	4.018332e-01	9.822406e-06	1.095124e-03
3.663343e-01	4.069808e-01	1.099191e-05	8.073093e-04
3.702767e-01	4.121387e-01	1.917387e-05	9.520766e-04
3.741920e-01	4.163703e-01	6.147144e-06	9.344069e-04
3.781349e-01	4.209196e-01	1.040143e-05	9.755283e-04
3.820839e-01	4.255522e-01	1.316622e-05	9.060197e-04
3.859985e-01	4.299127e-01	1.005833e-05	1.114106e-03
3.899360e-01	4.343649e-01	1.284447e-05	1.061907e-03
3.938738e-01	4.391545e-01	1.405658e-05	6.059617e-04
3.978336e-01	4.434332e-01	1.306389e-05	6.570620e-04
4.017531e-01	4.478386e-01	8.741096e-06	8.450931e-04
4.056711e-01	4.516626e-01	1.336127e-05	7.890048e-04
4.096118e-01	4.551911e-01	1.121297e-05	5.745020e-04
4.135441e-01	4.591241e-01	1.170923e-05	7.710802e-04
4.174796e-01	4.632778e-01	5.256962e-06	6.532605e-04
4.214037e-01	4.667502e-01	1.168216e-05	7.796750e-04
4.253529e-01	4.703157e-01	1.019936e-05	8.801256e-04
4.292916e-01	4.741360e-01	8.716852e-06	6.472615e-04
4.332151e-01	4.758383e-01	1.352657e-05	7.619377e-04
4.371586e-01	4.796820e-01	1.135831e-05	7.972845e-04
4.410722e-01	4.833490e-01	1.057386e-05	5.982034e-04
4.449782e-01	4.862857e-01	1.308218e-05	6.520668e-04
4.489088e-01	4.894870e-01	1.652540e-05	6.475864e-04
4.527418e-01	4.929245e-01	2.503501e-05	7.820810e-04
4.566453e-01	4.942389e-01	2.184758e-05	6.281280e-04
4.604773e-01	4.965082e-01	2.623043e-05	7.688225e-04
4.642748e-01	4.982463e-01	6.042525e-05	9.128940e-04
4.681010e-01	4.997752e-01	9.389576e-05	1.347886e-03
4.719249e-01	5.048770e-01	1.123165e-04	1.447344e-03
