#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
1.011600e-01	5.862162e-03	3.938427e-04	4.585781e-04
1.135501e-01	5.705228e-03	2.647376e-04	5.362674e-04
1.180310e-01	4.935501e-03	2.676589e-04	2.792457e-04
1.266902e-01	5.664738e-03	3.106760e-04	6.321330e-04
1.300756e-01	5.505561e-03	2.994394e-04	6.387752e-04
1.345284e-01	5.918119e-03	2.378947e-04	5.991564e-04
1.390791e-01	5.527005e-03	3.499000e-04	5.216329e-04
1.433211e-01	6.194204e-03	2.877064e-04	7.637528e-04
1.517412e-01	4.476709e-03	1.372568e-04	2.777005e-04
1.562111e-01	6.036695e-03	1.652288e-04	5.637950e-04
1.603148e-01	6.492492e-03	3.739039e-04	7.957686e-04
1.646035e-01	5.912258e-03	2.602658e-04	5.549456e-04
1.694088e-01	6.672610e-03	3.011016e-04	6.609594e-04
1.730253e-01	5.842720e-03	2.075099e-04	3.572697e-04
1.777826e-01	5.887639e-03	2.239732e-04	6.738709e-04
1.815125e-01	7.059942e-03	1.739499e-04	4.683915e-04
1.858856e-01	6.180806e-03	2.216605e-04	6.747223e-04
1.903940e-01	7.582817e-03	2.066959e-04	3.096336e-04
1.944839e-01	7.614903e-03	1.846462e-04	7.166686e-04
1.985580e-01	7.433015e-03	1.764803e-04	7.396252e-04
2.034693e-01	8.004632e-03	1.670173e-04	6.465477e-04
2.072343e-01	8.622006e-03	1.325916e-04	5.355283e-04
2.114959e-01	1.009851e-02	1.666394e-04	6.708384e-04
2.158103e-01	1.088929e-02	1.829729e-04	1.181418e-03
2.202543e-01	1.124358e-02	7.403404e-05	6.919968e-04
2.245678e-01	1.260692e-02	1.200712e-04	1.063713e-03
2.289438e-01	8.597185e-03	1.544074e-04	7.016391e-04
2.328921e-01	1.308691e-02	1.252900e-04	1.165369e-03
2.369651e-01	1.368003e-02	1.122385e-04	9.814806e-04
2.414419e-01	1.451790e-02	9.050867e-05	9.146530e-04
2.459169e-01	1.520220e-02	9.573533e-05	8.296339e-04
2.502174e-01	1.512816e-02	8.699088e-05	9.267529e-04
2.543078e-01	1.909617e-02	1.182676e-04	6.803576e-04
2.584681e-01	1.969218e-02	1.056520e-04	8.315334e-04
2.627738e-01	2.041832e-02	7.540050e-05	1.045742e-03
2.669275e-01	2.142782e-02	9.366336e-05	1.268191e-03
2.714765e-01	2.520337e-02	5.878167e-05	1.611883e-03
2.756998e-01	2.833270e-02	9.067709e-05	1.825830e-03
2.799162e-01	3.019012e-02	7.279347e-05	1.307005e-03
2.841086e-01	3.277680e-02	7.208835e-05	9.720029e-04
2.884311e-01	3.901006e-02	5.463556e-05	2.000823e-03
2.925876e-01	4.191696e-02	6.000526e-05	1.878012e-03
2.970217e-01	4.779591e-02	4.652793e-05	2.512192e-03
3.012060e-01	5.120993e-02	5.428194e-05	2.637899e-03
3.054219e-01	5.567849e-02	5.934060e-05	2.228367e-03
3.097139e-01	6.607224e-02	5.115448e-05	2.816091e-03
3.139032e-01	7.319490e-02	3.363329e-05	3.617316e-03
