#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
2.556548e-02	8.247979e-03	3.106745e-04	8.949677e-04
3.424498e-02	9.827119e-03	1.778137e-04	9.829584e-04
3.716973e-02	1.082583e-02	1.584227e-04	9.573411e-04
3.968783e-02	9.951964e-03	1.630371e-04	8.880831e-04
4.310353e-02	9.425415e-03	1.562338e-04	6.547638e-04
4.587899e-02	1.063484e-02	1.363322e-04	4.914736e-04
4.860855e-02	1.005410e-02	1.097523e-04	4.975167e-04
5.143762e-02	1.014917e-02	1.153538e-04	5.692279e-04
5.450250e-02	9.912315e-03	1.255032e-04	5.381516e-04
5.732941e-02	1.096701e-02	9.542073e-05	4.790750e-04
6.018926e-02	1.142937e-02	8.892417e-05	5.092954e-04
6.291543e-02	1.131430e-02	1.168886e-04	6.919609e-04
6.597478e-02	1.144029e-02	8.151963e-05	5.994626e-04
6.877785e-02	1.217897e-02	7.444030e-05	4.334672e-04
7.170049e-02	1.111513e-02	7.805538e-05	6.926133e-04
7.465139e-02	1.296885e-02	5.954127e-05	6.094831e-04
7.756894e-02	1.278963e-02	8.589482e-05	4.989120e-04
8.036749e-02	1.401261e-02	9.263784e-05	7.317535e-04
8.331579e-02	1.372369e-02	6.009055e-05	6.575539e-04
8.607647e-02	1.552203e-02	7.821244e-05	4.169026e-04
8.908070e-02	1.443553e-02	8.383418e-05	5.373793e-04
9.193702e-02	1.537763e-02	6.962572e-05	6.727309e-04
9.487179e-02	1.624146e-02	7.729441e-05	7.066636e-04
9.768166e-02	1.694136e-02	4.496234e-05	7.519772e-04
1.006304e-01	1.852024e-02	6.095292e-05	5.312597e-04
1.035578e-01	2.085368e-02	4.300610e-05	7.100956e-04
1.063743e-01	1.998792e-02	4.783153e-05	8.427968e-04
1.093719e-01	2.190736e-02	4.305401e-05	6.126325e-04
1.121552e-01	2.371572e-02	4.661898e-05	1.020148e-03
1.150409e-01	2.659714e-02	3.630874e-05	1.332044e-03
1.180162e-01	2.760199e-02	5.193635e-05	1.391701e-03
1.208827e-01	2.809947e-02	4.999126e-05	1.337801e-03
1.238092e-01	2.951898e-02	4.405826e-05	1.222788e-03
1.266810e-01	3.284657e-02	4.404285e-05	9.611876e-04
1.295374e-01	3.281159e-02	3.387882e-05	1.619540e-03
1.324393e-01	3.685399e-02	3.168459e-05	1.300259e-03
1.353241e-01	3.984827e-02	2.586846e-05	8.965606e-04
1.382313e-01	4.265406e-02	4.508031e-05	1.410436e-03
1.410597e-01	4.528697e-02	3.378814e-05	1.077813e-03
1.439546e-01	4.845944e-02	4.597237e-05	1.071703e-03
1.468641e-01	5.402652e-02	2.457234e-05	1.799190e-03
1.498100e-01	5.649710e-02	2.719258e-05	1.486115e-03
1.526439e-01	6.052282e-02	3.638959e-05	1.375379e-03
1.555143e-01	6.371999e-02	2.569705e-05	1.801942e-03
1.585060e-01	7.195229e-02	4.439273e-05	9.844633e-04
