#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
2.282053e-02	2.358491e-02	2.846384e-04	4.403402e-03
2.606218e-02	2.614395e-02	1.827265e-04	1.998481e-03
2.976066e-02	2.281906e-02	2.140820e-04	2.091795e-03
3.357119e-02	2.745811e-02	1.835090e-04	1.492438e-03
3.715434e-02	2.674460e-02	1.473235e-04	2.025409e-03
4.081113e-02	2.592730e-02	1.426190e-04	1.307809e-03
4.449362e-02	2.759027e-02	9.287378e-05	2.100233e-03
4.822663e-02	2.703889e-02	1.038204e-04	1.539954e-03
5.171993e-02	2.749123e-02	7.098360e-05	1.312100e-03
5.545770e-02	3.022284e-02	8.053264e-05	1.276674e-03
5.913212e-02	3.146850e-02	5.388614e-05	1.433252e-03
6.274497e-02	2.997472e-02	8.802750e-05	1.240069e-03
6.629744e-02	3.352357e-02	6.384193e-05	1.683046e-03
7.018478e-02	3.603893e-02	7.861896e-05	1.841127e-03
7.371411e-02	3.736153e-02	7.711608e-05	1.631307e-03
7.749632e-02	3.895259e-02	5.725401e-05	1.092458e-03
8.109935e-02	4.135989e-02	6.944224e-05	2.367449e-03
8.476930e-02	4.424210e-02	2.534234e-05	1.176492e-03
8.827064e-02	4.362553e-02	5.528456e-05	8.734755e-04
9.197729e-02	4.669283e-02	4.027313e-05	2.319364e-03
9.569060e-02	4.969986e-02	3.602459e-05	2.038986e-03
9.931631e-02	4.819600e-02	7.124389e-05	1.748825e-03
1.029196e-01	4.958629e-02	5.032308e-05	1.600771e-03
1.066201e-01	5.359165e-02	3.914796e-05	2.058949e-03
1.102371e-01	5.636876e-02	4.415973e-05	1.874562e-03
1.138594e-01	5.943935e-02	6.423413e-05	9.453918e-04
1.175711e-01	6.321999e-02	6.156702e-05	1.248249e-03
1.213079e-01	6.649684e-02	5.302622e-05	1.292149e-03
1.248762e-01	6.833346e-02	4.054071e-05	1.489437e-03
1.285708e-01	7.165510e-02	4.001369e-05	1.995209e-03
1.321801e-01	7.840276e-02	5.327874e-05	1.381359e-03
1.358589e-01	7.968347e-02	3.956476e-05	1.795803e-03
1.394763e-01	8.222632e-02	3.690135e-05	1.388427e-03
1.432016e-01	8.683498e-02	6.120030e-05	1.998414e-03
1.468475e-01	9.195748e-02	4.556079e-05	1.390777e-03
1.504934e-01	9.756282e-02	4.202021e-05	1.787952e-03
1.541287e-01	1.051301e-01	2.331620e-05	1.210703e-03
1.577755e-01	1.059341e-01	4.118558e-05	2.561597e-03
1.614299e-01	1.099280e-01	3.663335e-05	1.814234e-03
1.650431e-01	1.191225e-01	2.197484e-05	2.185303e-03
1.687098e-01	1.243895e-01	3.733938e-05	2.273344e-03
1.724242e-01	1.317562e-01	2.818184e-05	1.838781e-03
1.760392e-01	1.356997e-01	3.408536e-05	2.717649e-03
1.796755e-01	1.453330e-01	1.306485e-05	2.543864e-03
1.833832e-01	1.541635e-01	1.708093e-05	1.786927e-03
1.870269e-01	1.578362e-01	1.503846e-05	2.292173e-03
1.906808e-01	1.617727e-01	2.465408e-05	2.759038e-03
1.943639e-01	1.679291e-01	3.335881e-05	2.212690e-03
1.980146e-01	1.777316e-01	2.756307e-05	2.767096e-03
2.016026e-01	1.846076e-01	1.395671e-05	3.456600e-03
2.052917e-01	1.881344e-01	2.453359e-05	2.103835e-03
2.089405e-01	1.964915e-01	2.082937e-05	2.587393e-03
2.125985e-01	2.028822e-01	1.842278e-05	2.362298e-03
2.162505e-01	2.121890e-01	1.977963e-05	2.281012e-03
2.198963e-01	2.166290e-01	2.098699e-05	1.435860e-03
2.235772e-01	2.220700e-01	2.134436e-05	2.368722e-03
2.272341e-01	2.291471e-01	2.090822e-05	1.826305e-03
2.309193e-01	2.349939e-01	1.870878e-05	1.520555e-03
2.345395e-01	2.417408e-01	1.195075e-05	2.198008e-03
2.381936e-01	2.493360e-01	1.492236e-05	2.488411e-03
2.418452e-01	2.553623e-01	1.676857e-05	2.455040e-03
2.455329e-01	2.626159e-01	1.902005e-05	1.731206e-03
2.491603e-01	2.685203e-01	1.406767e-05	1.792678e-03
2.528309e-01	2.783322e-01	1.662290e-05	2.280090e-03
2.564557e-01	2.829425e-01	1.635437e-05	1.750722e-03
2.601263e-01	2.883538e-01	9.241313e-06	1.818290e-03
2.638050e-01	2.943485e-01	1.420673e-05	2.504993e-03
2.674589e-01	3.009552e-01	2.178964e-05	1.517493e-03
2.711027e-01	3.077448e-01	1.586820e-05	2.222914e-03
2.747519e-01	3.132684e-01	1.327311e-05	1.542550e-03
2.784149e-01	3.189131e-01	1.029951e-05	1.981542e-03
2.820507e-01	3.245630e-01	1.566406e-05	1.899269e-03
2.857067e-01	3.307295e-01	1.290339e-05	2.196954e-03
2.893721e-01	3.354235e-01	1.318752e-05	1.723964e-03
2.930387e-01	3.413196e-01	1.347415e-05	1.282348e-03
2.966573e-01	3.452290e-01	1.132259e-05	1.284119e-03
3.003316e-01	3.499272e-01	1.704080e-05	1.522975e-03
3.039882e-01	3.545737e-01	1.300262e-05	1.415045e-03
3.076577e-01	3.610028e-01	1.520105e-05	1.117276e-03
3.113105e-01	3.651104e-01	1.043277e-05	1.225898e-03
3.149567e-01	3.703237e-01	9.961079e-06	1.744796e-03
3.186070e-01	3.755353e-01	1.029109e-05	1.238938e-03
3.222513e-01	3.807832e-01	1.309411e-05	1.403244e-03
3.258964e-01	3.846129e-01	8.353437e-06	1.044155e-03
3.295754e-01	3.876676e-01	1.236075e-05	1.137424e-03
3.332377e-01	3.924300e-01	1.222057e-05	1.223665e-03
3.368872e-01	3.977759e-01	8.749331e-06	1.106352e-03
3.405396e-01	4.006769e-01	9.968089e-06	1.152467e-03
3.441918e-01	4.049177e-01	9.100963e-06	1.097473e-03
3.478533e-01	4.102678e-01	1.002058e-05	9.903633e-04
3.515045e-01	4.129058e-01	1.621637e-05	1.083387e-03
3.551602e-01	4.180952e-01	1.153696e-05	1.385004e-03
3.588254e-01	4.207922e-01	9.939736e-06	1.173813e-03
3.624687e-01	4.247445e-01	8.826205e-06	1.201298e-03
3.661243e-01	4.277597e-01	1.071826e-05	9.133101e-04
3.697742e-01	4.316246e-01	1.331297e-05	1.267750e-03
3.734315e-01	4.355738e-01	6.587933e-06	8.273126e-04
3.770886e-01	4.394895e-01	7.369380e-06	7.827740e-04
3.807502e-01	4.423425e-01	8.007678e-06	8.035409e-04
3.844050e-01	4.453438e-01	8.567390e-06	1.253069e-03
3.880651e-01	4.478042e-01	9.057670e-06	1.051476e-03
3.917256e-01	4.514908e-01	8.823028e-06	1.008742e-03
3.953641e-01	4.545483e-01	1.608811e-05	9.013565e-04
3.990232e-01	4.576267e-01	8.921569e-06	9.978099e-04
4.026703e-01	4.602967e-01	7.493361e-06	8.566528e-04
