#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
2.422113e-01	4.020132e-03	3.976878e-04	7.648869e-04
2.524945e-01	3.524611e-03	4.808284e-04	3.261719e-04
2.563210e-01	6.016908e-03	3.002231e-04	2.337942e-03
2.621081e-01	7.901819e-03	3.442435e-04	2.448241e-03
2.675029e-01	4.941662e-03	3.257468e-04	6.920828e-04
2.720085e-01	5.720037e-03	2.314611e-04	1.143966e-03
2.778618e-01	7.782670e-03	2.762576e-04	1.529226e-03
2.869650e-01	5.412494e-03	3.643652e-04	8.611353e-04
2.926748e-01	8.125247e-03	3.819529e-04	9.919529e-04
2.970217e-01	5.875165e-03	3.731762e-04	1.109165e-03
3.026435e-01	8.732133e-03	3.616739e-04	1.246760e-03
3.075626e-01	6.319575e-03	3.244499e-04	1.104854e-03
3.124189e-01	8.016622e-03	3.258604e-04	9.983355e-04
3.176595e-01	8.674403e-03	3.027630e-04	1.186739e-03
3.227167e-01	1.523129e-02	1.885106e-04	1.902143e-03
3.274447e-01	1.198757e-02	2.299135e-04	1.449832e-03
3.328183e-01	1.156307e-02	1.705845e-04	1.398995e-03
3.377116e-01	1.266261e-02	2.653836e-04	1.380089e-03
3.426651e-01	1.341297e-02	1.959409e-04	1.552064e-03
3.473092e-01	1.375771e-02	1.352768e-04	1.261514e-03
3.527629e-01	1.487735e-02	1.501056e-04	1.104017e-03
3.582176e-01	1.627631e-02	1.926858e-04	2.176596e-03
3.627725e-01	1.825008e-02	1.262610e-04	1.416022e-03
3.681945e-01	2.108723e-02	9.786184e-05	2.407454e-03
3.732659e-01	2.672318e-02	1.778753e-04	2.770875e-03
3.778534e-01	2.404789e-02	1.228552e-04	2.404963e-03
3.831381e-01	2.849536e-02	1.164904e-04	2.201056e-03
3.880675e-01	2.967924e-02	8.969437e-05	1.376269e-03
3.929719e-01	3.331839e-02	7.344670e-05	1.831180e-03
3.979245e-01	3.818699e-02	6.454965e-05	1.542572e-03
4.029703e-01	4.236837e-02	8.479060e-05	2.552588e-03
4.082135e-01	4.885541e-02	1.150001e-04	2.394980e-03
4.131915e-01	5.508643e-02	9.093136e-05	2.404082e-03
4.181819e-01	6.373568e-02	7.477805e-05	2.687721e-03
4.232372e-01	7.150820e-02	6.459376e-05	3.008228e-03
4.283480e-01	8.035834e-02	4.802458e-05	2.780820e-03
4.333408e-01	8.821954e-02	5.704967e-05	3.142479e-03
4.383357e-01	9.940182e-02	5.004136e-05	3.168158e-03
4.433380e-01	1.155709e-01	7.808403e-05	2.151333e-03
4.484112e-01	1.339862e-01	4.713015e-05	3.110242e-03
4.533716e-01	1.488689e-01	4.922291e-05	2.812389e-03
4.584939e-01	1.695605e-01	4.371913e-05	3.214539e-03
4.635400e-01	1.888738e-01	3.997425e-05	2.119661e-03
4.685708e-01	2.102214e-01	3.204293e-05	2.363079e-03
4.736072e-01	2.292315e-01	2.899993e-05	2.854749e-03
4.786032e-01	2.495263e-01	2.695614e-05	2.002031e-03
4.836683e-01	2.662712e-01	2.190633e-05	2.436057e-03
4.886712e-01	2.878833e-01	2.911402e-05	1.695614e-03
4.936935e-01	3.084773e-01	1.678568e-05	2.022141e-03
4.987356e-01	3.251988e-01	1.548052e-05	1.735984e-03
5.037679e-01	3.419165e-01	1.927295e-05	1.489452e-03
5.088000e-01	3.587768e-01	2.454576e-05	1.422723e-03
5.138645e-01	3.710082e-01	2.054778e-05	2.305984e-03
5.188871e-01	3.864548e-01	1.525363e-05	1.782654e-03
5.238997e-01	4.012311e-01	1.901487e-05	2.156500e-03
5.289536e-01	4.142140e-01	1.705934e-05	1.695581e-03
5.339861e-01	4.267465e-01	1.819349e-05	1.398391e-03
5.390139e-01	4.400498e-01	1.449599e-05	1.217536e-03
5.440347e-01	4.513565e-01	1.529659e-05	1.560551e-03
5.490690e-01	4.609801e-01	1.409634e-05	1.504383e-03
5.541290e-01	4.709889e-01	1.642777e-05	1.149367e-03
5.591373e-01	4.785109e-01	1.151038e-05	1.091981e-03
5.641878e-01	4.891580e-01	1.498485e-05	6.757070e-04
5.692251e-01	4.964591e-01	1.364107e-05	1.413356e-03
5.742494e-01	5.044925e-01	9.005127e-06	1.153012e-03
5.792803e-01	5.109965e-01	1.146194e-05	1.102188e-03
5.843202e-01	5.175088e-01	1.382786e-05	1.478632e-03
5.893456e-01	5.244874e-01	2.050580e-05	1.167460e-03
5.943870e-01	5.298148e-01	1.162162e-05	1.069874e-03
5.994154e-01	5.362910e-01	1.038453e-05	1.091686e-03
6.044546e-01	5.421497e-01	8.460481e-06	7.377642e-04
6.095069e-01	5.472442e-01	7.613757e-06	8.536649e-04
6.145345e-01	5.514834e-01	1.078481e-05	1.048172e-03
6.195488e-01	5.566909e-01	1.298537e-05	5.977052e-04
6.245846e-01	5.605605e-01	6.746901e-06	8.690186e-04
6.296138e-01	5.655249e-01	1.094258e-05	7.219464e-04
6.346470e-01	5.685631e-01	1.268873e-05	9.241765e-04
6.396995e-01	5.723081e-01	1.326827e-05	5.976874e-04
6.447392e-01	5.775639e-01	9.329292e-06	6.565243e-04
6.497611e-01	5.807284e-01	1.366534e-05	7.642268e-04
6.547920e-01	5.845281e-01	9.289074e-06	4.927962e-04
6.598260e-01	5.871039e-01	1.435292e-05	5.485906e-04
6.648680e-01	5.904597e-01	9.063965e-06	7.165275e-04
6.699115e-01	5.928871e-01	7.601706e-06	5.512788e-04
6.749516e-01	5.962946e-01	1.001833e-05	6.542364e-04
6.799814e-01	5.992302e-01	8.859214e-06	5.154165e-04
6.850113e-01	6.013280e-01	1.391699e-05	5.748040e-04
6.899889e-01	6.042986e-01	1.667852e-05	3.572060e-04
6.948098e-01	6.062725e-01	4.848946e-05	5.030228e-04
6.995361e-01	6.091654e-01	5.598727e-05	5.867430e-04
7.041210e-01	6.120898e-01	8.685254e-05	1.014847e-03
7.086842e-01	6.139009e-01	1.463730e-04	2.128916e-03
