#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
2.498659e-01	3.689355e-03	4.358983e-04	6.154062e-04
2.549882e-01	3.771858e-03	5.641961e-04	6.134686e-04
2.610097e-01	4.496905e-03	2.510646e-04	9.609321e-04
2.658662e-01	7.650912e-03	5.194706e-04	2.761081e-03
2.719537e-01	6.413477e-03	3.625001e-04	1.295117e-03
2.776064e-01	6.280259e-03	3.867512e-04	1.775533e-03
2.830439e-01	9.313568e-03	4.678237e-04	1.747222e-03
2.886213e-01	6.055100e-03	6.583164e-04	8.724118e-04
2.935788e-01	6.389947e-03	3.302131e-04	1.104585e-03
2.991295e-01	7.048518e-03	2.261802e-04	1.621608e-03
3.049170e-01	7.339365e-03	4.528210e-04	1.436759e-03
3.105056e-01	8.801363e-03	2.676629e-04	1.429155e-03
3.156979e-01	8.268006e-03	2.670540e-04	1.191751e-03
3.207459e-01	8.856821e-03	2.338641e-04	1.235213e-03
3.262864e-01	8.449388e-03	3.197448e-04	1.208957e-03
3.317845e-01	1.238057e-02	2.445005e-04	8.096068e-04
3.372293e-01	1.305345e-02	2.087043e-04	1.593967e-03
3.429351e-01	1.441300e-02	3.313871e-04	1.774365e-03
3.481583e-01	1.500697e-02	1.839327e-04	1.996050e-03
3.536691e-01	1.391564e-02	1.664637e-04	1.560425e-03
3.590505e-01	1.785333e-02	1.659829e-04	1.552955e-03
3.645940e-01	1.766805e-02	1.413150e-04	9.968540e-04
3.700746e-01	1.921858e-02	1.663023e-04	1.621488e-03
3.754219e-01	2.215577e-02	1.666998e-04	1.247521e-03
3.808803e-01	2.417389e-02	9.640523e-05	1.480767e-03
3.864204e-01	2.587010e-02	1.242505e-04	1.844297e-03
3.918907e-01	3.114577e-02	9.519326e-05	1.914855e-03
3.972427e-01	3.233002e-02	9.421075e-05	1.257968e-03
4.029346e-01	4.053847e-02	8.120246e-05	1.249375e-03
4.081821e-01	4.201801e-02	7.310124e-05	2.081969e-03
4.138534e-01	4.997310e-02	7.640727e-05	2.989974e-03
4.192487e-01	5.865094e-02	8.280185e-05	1.312547e-03
4.244975e-01	6.989825e-02	6.104208e-05	2.223148e-03
4.300392e-01	7.802996e-02	4.861610e-05	2.372855e-03
4.355561e-01	9.066966e-02	6.961617e-05	2.764237e-03
4.411104e-01	1.006017e-01	3.777765e-05	2.473089e-03
4.464535e-01	1.172049e-01	3.871163e-05	3.169928e-03
4.518750e-01	1.346774e-01	5.625597e-05	2.262302e-03
4.574602e-01	1.554802e-01	5.610210e-05	2.643822e-03
4.629420e-01	1.776265e-01	3.291213e-05	3.339480e-03
4.683415e-01	1.965580e-01	2.357814e-05	3.253107e-03
4.738029e-01	2.175875e-01	2.026542e-05	2.983794e-03
4.792406e-01	2.385603e-01	2.073102e-05	2.986844e-03
4.846986e-01	2.613467e-01	2.263228e-05	2.592447e-03
4.901510e-01	2.828467e-01	2.610786e-05	2.916559e-03
4.955632e-01	3.033431e-01	2.879709e-05	2.591074e-03
5.010248e-01	3.229039e-01	3.026634e-05	2.385983e-03
5.065416e-01	3.379899e-01	1.937979e-05	2.598106e-03
5.119940e-01	3.585227e-01	1.680548e-05	2.335899e-03
5.174425e-01	3.747261e-01	1.584850e-05	2.653030e-03
5.228880e-01	3.910611e-01	1.689779e-05	1.105974e-03
5.283663e-01	4.065410e-01	2.525452e-05	1.970424e-03
5.338136e-01	4.201117e-01	8.649695e-06	2.022940e-03
5.392701e-01	4.318401e-01	2.302492e-05	1.757553e-03
5.447285e-01	4.447660e-01	1.863301e-05	1.870984e-03
5.501991e-01	4.561979e-01	2.298577e-05	1.457454e-03
5.556747e-01	4.665329e-01	1.129107e-05	1.281368e-03
5.611476e-01	4.759791e-01	1.330949e-05	1.220188e-03
5.665708e-01	4.858572e-01	1.553405e-05	1.174386e-03
5.720501e-01	4.950517e-01	1.336899e-05	1.004979e-03
5.775198e-01	5.037953e-01	1.251358e-05	4.588803e-04
5.829532e-01	5.120099e-01	1.334632e-05	3.896599e-04
5.884291e-01	5.188549e-01	1.955293e-05	8.705569e-04
5.938742e-01	5.244616e-01	1.446946e-05	7.090783e-04
5.993237e-01	5.310650e-01	1.578103e-05	9.059867e-04
6.047975e-01	5.369085e-01	1.280750e-05	8.134072e-04
6.102382e-01	5.429049e-01	8.242524e-06	7.495279e-04
6.157325e-01	5.483894e-01	1.187776e-05	8.073349e-04
6.211994e-01	5.545285e-01	1.412780e-05	7.836259e-04
6.266242e-01	5.585943e-01	1.322762e-05	7.830332e-04
6.320912e-01	5.636825e-01	1.427676e-05	5.748080e-04
6.375545e-01	5.680483e-01	1.060341e-05	5.835472e-04
6.430191e-01	5.731882e-01	1.136926e-05	7.483636e-04
6.484789e-01	5.770995e-01	1.367526e-05	4.864252e-04
6.539473e-01	5.810729e-01	1.484179e-05	6.037952e-04
6.593962e-01	5.842689e-01	1.546332e-05	6.558651e-04
6.648656e-01	5.881335e-01	1.390297e-05	3.889109e-04
6.703123e-01	5.913917e-01	9.346553e-06	4.468479e-04
6.757494e-01	5.943460e-01	1.241678e-05	4.039937e-04
6.812209e-01	5.981092e-01	1.170224e-05	4.170962e-04
6.866858e-01	6.000065e-01	9.878183e-06	4.614786e-04
6.920970e-01	6.033376e-01	1.811022e-05	4.245287e-04
6.972501e-01	6.063373e-01	3.468597e-05	3.364786e-04
7.022171e-01	6.083064e-01	9.368944e-05	4.594810e-04
7.074759e-01	6.127374e-01	9.347553e-05	6.974983e-04
7.123382e-01	6.164926e-01	1.666040e-04	1.992760e-03
