#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
1.104078e-01	4.644608e-03	2.086188e-04	4.943137e-04
1.220977e-01	5.111336e-03	2.466881e-04	5.341505e-04
1.337179e-01	4.224141e-03	1.621311e-04	4.219465e-04
1.376663e-01	4.817092e-03	2.511503e-04	4.038072e-04
1.408066e-01	5.339269e-03	2.929515e-04	3.494668e-04
1.447162e-01	5.583702e-03	1.490574e-04	3.853061e-04
1.484756e-01	5.901710e-03	2.546500e-04	7.283215e-04
1.522524e-01	5.567953e-03	1.845725e-04	6.032971e-04
1.563274e-01	4.868518e-03	2.118250e-04	4.708504e-04
1.602160e-01	5.884951e-03	2.145704e-04	4.420726e-04
1.638805e-01	5.688410e-03	1.801724e-04	3.153636e-04
1.675027e-01	6.065405e-03	1.995509e-04	4.151549e-04
1.712305e-01	6.834597e-03	1.890872e-04	7.247586e-04
1.751718e-01	6.060875e-03	8.997289e-05	5.046819e-04
1.788287e-01	6.282469e-03	1.396107e-04	3.254214e-04
1.828428e-01	7.198386e-03	1.482205e-04	9.227950e-04
1.865047e-01	6.564374e-03	1.643539e-04	7.577856e-04
1.905525e-01	6.749396e-03	1.622803e-04	4.990824e-04
1.943920e-01	7.574477e-03	1.724613e-04	7.073095e-04
1.980298e-01	8.163148e-03	1.717204e-04	4.073708e-04
2.017337e-01	8.559289e-03	9.896401e-05	6.770631e-04
2.054037e-01	8.816461e-03	1.286275e-04	5.270923e-04
2.093398e-01	9.424919e-03	1.237155e-04	3.993831e-04
2.132732e-01	9.799321e-03	1.965842e-04	8.104503e-04
2.170416e-01	9.948126e-03	1.306610e-04	9.446557e-04
2.207385e-01	1.041100e-02	6.801389e-05	7.855344e-04
2.243938e-01	1.102999e-02	8.519973e-05	8.015876e-04
2.284891e-01	1.100635e-02	1.103747e-04	6.792909e-04
2.320243e-01	1.247021e-02	8.014266e-05	1.000089e-03
2.359886e-01	1.286218e-02	8.370812e-05	1.009030e-03
2.397283e-01	1.466159e-02	1.211122e-04	6.999606e-04
2.437485e-01	1.443356e-02	7.788751e-05	8.651043e-04
2.474228e-01	1.575641e-02	9.167192e-05	6.575721e-04
2.512708e-01	1.663189e-02	8.272179e-05	1.088661e-03
2.550074e-01	1.770950e-02	8.228367e-05	8.869897e-04
2.586799e-01	1.955561e-02	7.231196e-05	5.093880e-04
2.625136e-01	2.090914e-02	8.684002e-05	1.077389e-03
2.662736e-01	2.381333e-02	6.055905e-05	1.086239e-03
2.701508e-01	2.585417e-02	5.388519e-05	1.151877e-03
2.739309e-01	2.977510e-02	7.791455e-05	1.253587e-03
2.778263e-01	3.377583e-02	2.746852e-05	1.508726e-03
2.815670e-01	3.651249e-02	5.890659e-05	1.600640e-03
2.853202e-01	4.107422e-02	3.050080e-05	2.067413e-03
2.891345e-01	4.669311e-02	4.535718e-05	1.811657e-03
2.929800e-01	5.291904e-02	4.850996e-05	2.012876e-03
2.967593e-01	6.007362e-02	4.317734e-05	2.444256e-03
3.005197e-01	6.862285e-02	2.902455e-05	3.409438e-03
3.043114e-01	7.629304e-02	3.415579e-05	3.757695e-03
3.081560e-01	8.596375e-02	4.487092e-05	2.928372e-03
3.119198e-01	9.542850e-02	1.372293e-05	3.861984e-03
3.156807e-01	1.095024e-01	2.977561e-05	4.102040e-03
3.194984e-01	1.233474e-01	2.266183e-05	3.296739e-03
3.233163e-01	1.360128e-01	1.829415e-05	3.541942e-03
3.270762e-01	1.511658e-01	1.008797e-05	4.148615e-03
3.308705e-01	1.633879e-01	1.661990e-05	3.226758e-03
3.346816e-01	1.798375e-01	2.435493e-05	4.305331e-03
3.384749e-01	1.973556e-01	1.775469e-05	4.674402e-03
3.422571e-01	2.125521e-01	2.513865e-05	5.251882e-03
3.460548e-01	2.262559e-01	1.230636e-05	5.323614e-03
3.498869e-01	2.460654e-01	1.690951e-05	4.183806e-03
3.536829e-01	2.611216e-01	1.292424e-05	4.154983e-03
3.574913e-01	2.770060e-01	1.521385e-05	3.327816e-03
3.612587e-01	2.938879e-01	1.757932e-05	3.965993e-03
3.650523e-01	3.118316e-01	1.874832e-05	2.947025e-03
3.688627e-01	3.275542e-01	1.511112e-05	3.100037e-03
3.726537e-01	3.425068e-01	1.531931e-05	3.065654e-03
3.764727e-01	3.566826e-01	7.982332e-06	2.692123e-03
3.802629e-01	3.693600e-01	9.250013e-06	2.627497e-03
3.840462e-01	3.838796e-01	1.425228e-05	2.512261e-03
3.878292e-01	3.971852e-01	1.625554e-05	3.037670e-03
3.916268e-01	4.086395e-01	1.138617e-05	2.395639e-03
3.954198e-01	4.206336e-01	7.996282e-06	2.345147e-03
3.992250e-01	4.325475e-01	7.748006e-06	2.301445e-03
4.030118e-01	4.420739e-01	6.746506e-06	1.746311e-03
4.068100e-01	4.543892e-01	9.058634e-06	1.847934e-03
4.106353e-01	4.637154e-01	9.685840e-06	2.046427e-03
4.144195e-01	4.736200e-01	1.073339e-05	1.574743e-03
4.182201e-01	4.842300e-01	1.323925e-05	1.183250e-03
4.220177e-01	4.923965e-01	1.014040e-05	1.087730e-03
4.257957e-01	5.001046e-01	7.488767e-06	1.216252e-03
4.295830e-01	5.090217e-01	7.914417e-06	1.595567e-03
4.333840e-01	5.163617e-01	6.325652e-06	1.185390e-03
4.371930e-01	5.233793e-01	9.030504e-06	1.398120e-03
4.409854e-01	5.312252e-01	6.382830e-06	1.054166e-03
4.447876e-01	5.373947e-01	9.205988e-06	1.233329e-03
4.485733e-01	5.432146e-01	1.149997e-05	1.134153e-03
4.523424e-01	5.493547e-01	1.320727e-05	1.068226e-03
4.561282e-01	5.549900e-01	1.658854e-05	9.609499e-04
4.598653e-01	5.592792e-01	2.788999e-05	8.749071e-04
4.635138e-01	5.622992e-01	5.587778e-05	5.365187e-04
4.671230e-01	5.662539e-01	7.745016e-05	9.305991e-04
4.707335e-01	5.695260e-01	7.287392e-05	1.857094e-03
4.745514e-01	5.661603e-01	1.442327e-04	1.799377e-03
