#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
1.567797e-02	3.199478e-02	1.429708e-04	4.250001e-03
1.894613e-02	3.878315e-02	1.525852e-04	2.392036e-03
2.212997e-02	3.429590e-02	1.367153e-04	1.684067e-03
2.568312e-02	3.503362e-02	1.260201e-04	1.659043e-03
2.893065e-02	4.065575e-02	1.241813e-04	2.127976e-03
3.235341e-02	4.440342e-02	8.321970e-05	2.059574e-03
3.567584e-02	4.311670e-02	6.347272e-05	2.323501e-03
3.908422e-02	4.889375e-02	4.463146e-05	1.934314e-03
4.237641e-02	4.812716e-02	6.814996e-05	1.398014e-03
4.587395e-02	5.282030e-02	7.658097e-05	1.748301e-03
4.916071e-02	5.555320e-02	6.426936e-05	1.151349e-03
5.257344e-02	5.874326e-02	3.271620e-05	2.284149e-03
5.578550e-02	6.133242e-02	4.857638e-05	1.878297e-03
5.921937e-02	6.295147e-02	4.754172e-05	2.968371e-03
6.254582e-02	6.783237e-02	4.163122e-05	1.865640e-03
6.582989e-02	6.948006e-02	5.541542e-05	1.945405e-03
6.922143e-02	7.273822e-02	4.953289e-05	1.914319e-03
7.262141e-02	7.679445e-02	3.680784e-05	1.900585e-03
7.609195e-02	7.836713e-02	4.499690e-05	1.865047e-03
7.935618e-02	8.385710e-02	4.648734e-05	3.382880e-03
8.273612e-02	8.736757e-02	5.070345e-05	2.314371e-03
8.611986e-02	9.244970e-02	4.638344e-05	2.709535e-03
8.947160e-02	9.500841e-02	2.587698e-05	1.452507e-03
9.284260e-02	1.005127e-01	5.165884e-05	2.786252e-03
9.623036e-02	1.038857e-01	4.519161e-05	2.396072e-03
9.955544e-02	1.094382e-01	2.265957e-05	2.348958e-03
1.029491e-01	1.117091e-01	3.694868e-05	2.460656e-03
1.063217e-01	1.170470e-01	3.522038e-05	1.914171e-03
1.097286e-01	1.202730e-01	2.695010e-05	3.522704e-03
1.130266e-01	1.235668e-01	2.312780e-05	1.399627e-03
1.163875e-01	1.294989e-01	2.475368e-05	2.330073e-03
1.197425e-01	1.330300e-01	2.419969e-05	2.270613e-03
1.231846e-01	1.369502e-01	3.780337e-05	1.485386e-03
1.264914e-01	1.418649e-01	1.863583e-05	2.093345e-03
1.298401e-01	1.494481e-01	2.644868e-05	1.358257e-03
1.332140e-01	1.545479e-01	2.340297e-05	3.048820e-03
1.365728e-01	1.571179e-01	1.721056e-05	2.842874e-03
1.399802e-01	1.618980e-01	3.032961e-05	3.248228e-03
1.433006e-01	1.704896e-01	2.814634e-05	3.093417e-03
1.466563e-01	1.749285e-01	2.798488e-05	2.999695e-03
1.500713e-01	1.820823e-01	1.964112e-05	2.748316e-03
1.534030e-01	1.838962e-01	1.715742e-05	2.945188e-03
1.567882e-01	1.865151e-01	2.212781e-05	2.793745e-03
1.601655e-01	1.956730e-01	1.498240e-05	2.338315e-03
1.635175e-01	2.013901e-01	1.723171e-05	1.977311e-03
1.668503e-01	2.063811e-01	1.720369e-05	1.680874e-03
1.702705e-01	2.156947e-01	2.338606e-05	1.653062e-03
1.736217e-01	2.194822e-01	2.318859e-05	2.626877e-03
1.769516e-01	2.247884e-01	1.262404e-05	2.442827e-03
1.803167e-01	2.297225e-01	1.491495e-05	2.810168e-03
1.836754e-01	2.361639e-01	1.109582e-05	2.011426e-03
1.870870e-01	2.408272e-01	1.937275e-05	2.191243e-03
1.904573e-01	2.475610e-01	1.733764e-05	2.110593e-03
1.937936e-01	2.571560e-01	1.317397e-05	2.141155e-03
1.971703e-01	2.616541e-01	2.009806e-05	2.351193e-03
2.005468e-01	2.646923e-01	1.929805e-05	2.042522e-03
2.039057e-01	2.684998e-01	1.754223e-05	2.802339e-03
2.072344e-01	2.737883e-01	1.494774e-05	2.811854e-03
2.106219e-01	2.807040e-01	1.863038e-05	1.706276e-03
2.140011e-01	2.862193e-01	1.540046e-05	1.843132e-03
2.173462e-01	2.929183e-01	1.168720e-05	2.003396e-03
2.207037e-01	2.975809e-01	1.353290e-05	1.894689e-03
2.240933e-01	3.034689e-01	9.681570e-06	1.460613e-03
2.274361e-01	3.061900e-01	9.712868e-06	1.313999e-03
2.307739e-01	3.133737e-01	1.098120e-05	1.530096e-03
2.341723e-01	3.190091e-01	1.764960e-05	1.551027e-03
2.375337e-01	3.223082e-01	1.263874e-05	9.889367e-04
2.408838e-01	3.266447e-01	1.019111e-05	1.081167e-03
2.442896e-01	3.315572e-01	9.467050e-06	1.180810e-03
2.476253e-01	3.371061e-01	1.325851e-05	8.828632e-04
2.510048e-01	3.403511e-01	1.363361e-05	1.053566e-03
2.543790e-01	3.457042e-01	1.247234e-05	1.741094e-03
2.577469e-01	3.499203e-01	1.097515e-05	1.176491e-03
2.611153e-01	3.535729e-01	9.424344e-06	1.336058e-03
2.644614e-01	3.592275e-01	1.328784e-05	1.182907e-03
2.678325e-01	3.628077e-01	1.413820e-05	8.718493e-04
2.712010e-01	3.671220e-01	9.753912e-06	1.066730e-03
2.745653e-01	3.704291e-01	2.108751e-05	1.126211e-03
2.779317e-01	3.742217e-01	1.602241e-05	8.433146e-04
2.812825e-01	3.774981e-01	1.203696e-05	1.218526e-03
2.846343e-01	3.815553e-01	1.223150e-05	1.288418e-03
2.880020e-01	3.856998e-01	9.568128e-06	7.641106e-04
2.913780e-01	3.907097e-01	1.454805e-05	6.692941e-04
2.947405e-01	3.941170e-01	1.048569e-05	1.070583e-03
2.981191e-01	3.968822e-01	1.228783e-05	1.322107e-03
3.014672e-01	4.000656e-01	1.539711e-05	1.405362e-03
3.048515e-01	4.050844e-01	1.080025e-05	9.929097e-04
3.082062e-01	4.073743e-01	1.105908e-05	1.051761e-03
3.115854e-01	4.108482e-01	1.272808e-05	9.868199e-04
3.149420e-01	4.147578e-01	1.297156e-05	1.025306e-03
3.183094e-01	4.183486e-01	9.995519e-06	8.919595e-04
3.216597e-01	4.216290e-01	1.154965e-05	8.341810e-04
3.250167e-01	4.236326e-01	9.775327e-06	1.190439e-03
3.283794e-01	4.267490e-01	7.508663e-06	1.294789e-03
3.317527e-01	4.295877e-01	7.075477e-06	9.333364e-04
3.351104e-01	4.331283e-01	8.808038e-06	6.947579e-04
3.384821e-01	4.363846e-01	1.097636e-05	1.069285e-03
3.418406e-01	4.392188e-01	9.045282e-06	1.101757e-03
3.452075e-01	4.406198e-01	9.765935e-06	8.254108e-04
3.485948e-01	4.437981e-01	9.710501e-06	8.604295e-04
3.519614e-01	4.472919e-01	6.745310e-06	9.058857e-04
3.553198e-01	4.499020e-01	8.815159e-06	8.378310e-04
3.586680e-01	4.526266e-01	1.142475e-05	7.276581e-04
3.620399e-01	4.557558e-01	7.849340e-06	8.412506e-04
3.654000e-01	4.571579e-01	1.183368e-05	6.881330e-04
3.687434e-01	4.594198e-01	1.173147e-05	7.207798e-04
3.720575e-01	4.615392e-01	1.554267e-05	9.145245e-04
3.753716e-01	4.645104e-01	3.088941e-05	9.697845e-04
3.786964e-01	4.647316e-01	3.011318e-05	7.070180e-04
3.819983e-01	4.675301e-01	3.037361e-05	1.142056e-03
3.853351e-01	4.691709e-01	4.810484e-05	1.054902e-03
3.886185e-01	4.700991e-01	5.166505e-05	1.101302e-03
3.919110e-01	4.719948e-01	8.484382e-05	2.072411e-03
3.953482e-01	4.734124e-01	1.115404e-04	2.857552e-03
3.987097e-01	4.779315e-01	1.448125e-04	3.532125e-03
