#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
8.951831e-03	5.221099e-02	1.825075e-04	5.533481e-03
1.187592e-02	5.106068e-02	8.603800e-05	2.711665e-03
1.466412e-02	5.328765e-02	1.031982e-04	3.171554e-03
1.766891e-02	5.874937e-02	8.230084e-05	3.203334e-03
2.084165e-02	6.115989e-02	4.788857e-05	2.749839e-03
2.372596e-02	7.509690e-02	6.786374e-05	3.319739e-03
2.664808e-02	7.330490e-02	5.553025e-05	1.808525e-03
2.985456e-02	8.153004e-02	7.446812e-05	2.754266e-03
3.277425e-02	8.972504e-02	6.778128e-05	2.139647e-03
3.586706e-02	9.320222e-02	6.332913e-05	2.529978e-03
3.895867e-02	9.893496e-02	4.264279e-05	2.154423e-03
4.192690e-02	1.041166e-01	5.660099e-05	2.826477e-03
4.492381e-02	1.090260e-01	5.395277e-05	3.209253e-03
4.785657e-02	1.134092e-01	4.773452e-05	3.554349e-03
5.086495e-02	1.243150e-01	4.016231e-05	3.779173e-03
5.400939e-02	1.316061e-01	2.769012e-05	2.328357e-03
5.706155e-02	1.373990e-01	3.686784e-05	1.798735e-03
6.002664e-02	1.415970e-01	2.069129e-05	2.552780e-03
6.307520e-02	1.508389e-01	3.845987e-05	2.298674e-03
6.605099e-02	1.535307e-01	2.006647e-05	2.984752e-03
6.910970e-02	1.611832e-01	3.045546e-05	1.879467e-03
7.209234e-02	1.654048e-01	3.415847e-05	2.995469e-03
7.508575e-02	1.703606e-01	2.843571e-05	3.286165e-03
7.814516e-02	1.735719e-01	3.368539e-05	3.103564e-03
8.117148e-02	1.775893e-01	3.334596e-05	3.163719e-03
8.411315e-02	1.830773e-01	3.448406e-05	3.073093e-03
8.722625e-02	1.870291e-01	3.013559e-05	2.549796e-03
9.024771e-02	1.974560e-01	2.977664e-05	2.385179e-03
9.328575e-02	1.974595e-01	1.615134e-05	2.731230e-03
9.627280e-02	2.032535e-01	2.538705e-05	3.263237e-03
9.931270e-02	2.063297e-01	2.499836e-05	2.200232e-03
1.023317e-01	2.116661e-01	2.283518e-05	1.806889e-03
1.053321e-01	2.168567e-01	2.542215e-05	3.000910e-03
1.084044e-01	2.196690e-01	1.740838e-05	2.402704e-03
1.113685e-01	2.286044e-01	3.187826e-05	2.710316e-03
1.144006e-01	2.303125e-01	2.365094e-05	2.613858e-03
1.174169e-01	2.372447e-01	2.065083e-05	2.576752e-03
1.204231e-01	2.384417e-01	2.070589e-05	3.725563e-03
1.234827e-01	2.404235e-01	1.362454e-05	2.826029e-03
1.264911e-01	2.468588e-01	1.241370e-05	3.200302e-03
1.295048e-01	2.497516e-01	1.834224e-05	3.620395e-03
1.325500e-01	2.555693e-01	2.483872e-05	2.540766e-03
1.355319e-01	2.586112e-01	1.492932e-05	2.269952e-03
1.385910e-01	2.617475e-01	1.091929e-05	1.971516e-03
1.416083e-01	2.659922e-01	2.197600e-05	1.709103e-03
1.446375e-01	2.710619e-01	2.064818e-05	1.684141e-03
1.476618e-01	2.729092e-01	1.742870e-05	2.357227e-03
1.506824e-01	2.779959e-01	1.207651e-05	1.837266e-03
1.536891e-01	2.830468e-01	9.413786e-06	2.178742e-03
1.567161e-01	2.887188e-01	2.203456e-05	2.259619e-03
1.597257e-01	2.931789e-01	2.213366e-05	1.992367e-03
1.627532e-01	2.943197e-01	1.505439e-05	1.622424e-03
1.657940e-01	2.988765e-01	1.157456e-05	2.006531e-03
1.688124e-01	3.039375e-01	1.910956e-05	1.776720e-03
1.718451e-01	3.063597e-01	9.564065e-06	9.435278e-04
1.748572e-01	3.111620e-01	1.678658e-05	1.725453e-03
1.778673e-01	3.153316e-01	1.995469e-05	1.146415e-03
1.808712e-01	3.175170e-01	2.036843e-05	1.408316e-03
1.839054e-01	3.230793e-01	1.644690e-05	1.763853e-03
1.869397e-01	3.245022e-01	2.096850e-05	1.976969e-03
1.899510e-01	3.320401e-01	1.714590e-05	1.693643e-03
1.929803e-01	3.340577e-01	8.699165e-06	1.441697e-03
1.960206e-01	3.372076e-01	1.510855e-05	1.078785e-03
1.990455e-01	3.406002e-01	1.005911e-05	1.678714e-03
2.020233e-01	3.435614e-01	1.721659e-05	1.093719e-03
2.050738e-01	3.474992e-01	1.619055e-05	1.566393e-03
2.080986e-01	3.507963e-01	1.362389e-05	1.101676e-03
2.111435e-01	3.547800e-01	1.763250e-05	1.246165e-03
2.141644e-01	3.571630e-01	1.662915e-05	8.728577e-04
2.171729e-01	3.601016e-01	1.590791e-05	1.599750e-03
