#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
8.689972e-03	3.155412e-02	2.408801e-04	2.426944e-03
1.177944e-02	4.841506e-02	1.384479e-04	2.180856e-03
1.480452e-02	5.162364e-02	1.292895e-04	4.630051e-03
1.760951e-02	4.625603e-02	7.791174e-05	3.053805e-03
2.052254e-02	5.321522e-02	1.242086e-04	3.075674e-03
2.323363e-02	5.477457e-02	6.885651e-05	2.435128e-03
2.633511e-02	5.921209e-02	5.629037e-05	2.153247e-03
2.901702e-02	6.768694e-02	6.593008e-05	3.072923e-03
3.190639e-02	7.159605e-02	9.823306e-05	3.117515e-03
3.487789e-02	7.587370e-02	6.192386e-05	3.261345e-03
3.784514e-02	8.482585e-02	5.445686e-05	3.483468e-03
4.074618e-02	9.046148e-02	5.280747e-05	2.989786e-03
4.360689e-02	9.767608e-02	4.491802e-05	2.774573e-03
4.649083e-02	1.051262e-01	6.414545e-05	3.079202e-03
4.939373e-02	1.098945e-01	4.860539e-05	2.931738e-03
5.223771e-02	1.134513e-01	3.414848e-05	3.846033e-03
5.523615e-02	1.215939e-01	4.176539e-05	2.530456e-03
5.808445e-02	1.229947e-01	5.034921e-05	3.091645e-03
6.100367e-02	1.326623e-01	4.263163e-05	4.022328e-03
6.383123e-02	1.391701e-01	4.962354e-05	3.516372e-03
6.676223e-02	1.470352e-01	2.707978e-05	2.780801e-03
6.965161e-02	1.501325e-01	1.938770e-05	2.512305e-03
7.263689e-02	1.568660e-01	4.507753e-05	3.807949e-03
7.541540e-02	1.585690e-01	2.412780e-05	4.038378e-03
7.832040e-02	1.656435e-01	3.681531e-05	2.836552e-03
8.127869e-02	1.739837e-01	2.482845e-05	3.957751e-03
8.413913e-02	1.774817e-01	3.474697e-05	3.836506e-03
8.704255e-02	1.810229e-01	2.738117e-05	3.759203e-03
8.993489e-02	1.875931e-01	1.923854e-05	1.682887e-03
9.284850e-02	1.943527e-01	3.500156e-05	2.624658e-03
9.574781e-02	1.977531e-01	3.248029e-05	3.004502e-03
9.866247e-02	2.003779e-01	2.534867e-05	2.600478e-03
1.015913e-01	2.091813e-01	2.817863e-05	2.875121e-03
1.044833e-01	2.137892e-01	1.876847e-05	2.262801e-03
1.073804e-01	2.205666e-01	2.218547e-05	3.330260e-03
1.102839e-01	2.279821e-01	2.691686e-05	3.451553e-03
1.131782e-01	2.293963e-01	1.936468e-05	2.811577e-03
1.160688e-01	2.299550e-01	2.340907e-05	3.565691e-03
1.190186e-01	2.355143e-01	2.695447e-05	3.676248e-03
1.219008e-01	2.431874e-01	3.327661e-05	3.428000e-03
1.247783e-01	2.471505e-01	2.946121e-05	3.366782e-03
1.276861e-01	2.512727e-01	2.089445e-05	3.228260e-03
1.305547e-01	2.548024e-01	2.333733e-05	2.874724e-03
1.334453e-01	2.611665e-01	1.488714e-05	2.658901e-03
1.363519e-01	2.649542e-01	1.956624e-05	2.839949e-03
1.392959e-01	2.691141e-01	2.009787e-05	2.434558e-03
1.421804e-01	2.772645e-01	1.480959e-05	2.992235e-03
1.450961e-01	2.809374e-01	1.222112e-05	2.945098e-03
1.479857e-01	2.868611e-01	1.197892e-05	3.135743e-03
1.509051e-01	2.895943e-01	1.569483e-05	3.004641e-03
1.538010e-01	2.934198e-01	2.150352e-05	3.570764e-03
1.566897e-01	2.994409e-01	2.016868e-05	2.977888e-03
1.595843e-01	3.036008e-01	1.781011e-05	3.333822e-03
1.624801e-01	3.080387e-01	1.333643e-05	2.447856e-03
1.653850e-01	3.124038e-01	1.291442e-05	2.446918e-03
1.682728e-01	3.163786e-01	1.527165e-05	2.684069e-03
1.711695e-01	3.228132e-01	1.415457e-05	3.254933e-03
1.740806e-01	3.257123e-01	2.080744e-05	2.319480e-03
1.769691e-01	3.306090e-01	1.847494e-05	1.362938e-03
1.798982e-01	3.355379e-01	1.225275e-05	2.552242e-03
1.827967e-01	3.380797e-01	1.357410e-05	2.159457e-03
1.856965e-01	3.417974e-01	1.808666e-05	2.032294e-03
1.885741e-01	3.459420e-01	2.383695e-05	1.725677e-03
1.914695e-01	3.493139e-01	1.351783e-05	2.050387e-03
1.943819e-01	3.535680e-01	1.803281e-05	1.717551e-03
1.972765e-01	3.581347e-01	8.872337e-06	2.005012e-03
2.001847e-01	3.613843e-01	1.886478e-05	1.628621e-03
2.030763e-01	3.650466e-01	8.790272e-06	1.729593e-03
2.059873e-01	3.681412e-01	1.500177e-05	2.378091e-03
2.088912e-01	3.729908e-01	1.377887e-05	1.416623e-03
2.117764e-01	3.764103e-01	1.603554e-05	1.833999e-03
2.146786e-01	3.796877e-01	1.345125e-05	1.861097e-03
2.176013e-01	3.846958e-01	1.692624e-05	1.664185e-03
2.204778e-01	3.867473e-01	1.163290e-05	1.622620e-03
2.233760e-01	3.894094e-01	5.668545e-06	1.580800e-03
2.262717e-01	3.940109e-01	1.096366e-05	1.388054e-03
2.291787e-01	3.961732e-01	1.767824e-05	1.452881e-03
2.320752e-01	4.004269e-01	1.276356e-05	8.744436e-04
2.349835e-01	4.036179e-01	1.025988e-05	1.716603e-03
2.378754e-01	4.086786e-01	1.257808e-05	1.040888e-03
2.407752e-01	4.084227e-01	1.323885e-05	1.276042e-03
2.436722e-01	4.125534e-01	1.208679e-05	1.287160e-03
2.465894e-01	4.167367e-01	9.999077e-06	1.610749e-03
2.494505e-01	4.189152e-01	1.294863e-05	1.098468e-03
2.523883e-01	4.204803e-01	1.408091e-05	1.533804e-03
2.552663e-01	4.237182e-01	1.080148e-05	1.185924e-03
2.581585e-01	4.258696e-01	1.520784e-05	1.312066e-03
2.610883e-01	4.287220e-01	1.054658e-05	9.428422e-04
2.639786e-01	4.312653e-01	1.475939e-05	1.333098e-03
2.668460e-01	4.329101e-01	1.126186e-05	1.178804e-03
