#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
2.335411e-02	2.304277e-02	2.928314e-04	2.550211e-03
2.691449e-02	2.410917e-02	1.491800e-04	2.550140e-03
3.002705e-02	2.797609e-02	2.140017e-04	1.585753e-03
3.368461e-02	2.720224e-02	1.004160e-04	1.737568e-03
3.731904e-02	2.559891e-02	1.813500e-04	1.435935e-03
4.097391e-02	2.840694e-02	1.480333e-04	1.762746e-03
4.445436e-02	2.991153e-02	8.753987e-05	1.722377e-03
4.831898e-02	3.005018e-02	1.178241e-04	1.063623e-03
5.169034e-02	3.143120e-02	8.126030e-05	1.901140e-03
5.553306e-02	3.155488e-02	5.168618e-05	1.718603e-03
5.897616e-02	3.453194e-02	1.141605e-04	1.700890e-03
6.248330e-02	3.206878e-02	9.695697e-05	2.085170e-03
6.624684e-02	3.436057e-02	8.092794e-05	9.360769e-04
6.970053e-02	3.547603e-02	6.162764e-05	2.011287e-03
7.348545e-02	3.941464e-02	8.975291e-05	1.831155e-03
7.696222e-02	3.892824e-02	6.924578e-05	1.219834e-03
8.068066e-02	3.843214e-02	4.404394e-05	1.381129e-03
8.421563e-02	4.168363e-02	4.543176e-05	1.763978e-03
8.791799e-02	4.291492e-02	6.920755e-05	1.910772e-03
9.150053e-02	4.545534e-02	6.098767e-05	1.617533e-03
9.508850e-02	4.809542e-02	4.973627e-05	2.147574e-03
9.876875e-02	5.256372e-02	6.691897e-05	1.863695e-03
1.024205e-01	5.482753e-02	4.773956e-05	2.058001e-03
1.058937e-01	5.956904e-02	7.333677e-05	1.950931e-03
1.095365e-01	6.205820e-02	5.413489e-05	2.360136e-03
1.130734e-01	6.203613e-02	4.053801e-05	2.589139e-03
1.167140e-01	6.354425e-02	6.252808e-05	2.012904e-03
1.203272e-01	6.459978e-02	6.872173e-05	1.640507e-03
1.239641e-01	7.325614e-02	4.590662e-05	3.112585e-03
1.275177e-01	7.472350e-02	4.218423e-05	2.497505e-03
1.311908e-01	7.936560e-02	3.144254e-05	2.962187e-03
1.347586e-01	7.999700e-02	3.825379e-05	1.968423e-03
1.383614e-01	8.619437e-02	4.377646e-05	3.227606e-03
1.420153e-01	8.988585e-02	3.964224e-05	3.561006e-03
1.456193e-01	9.627388e-02	2.631424e-05	3.760238e-03
1.492181e-01	1.010039e-01	4.092644e-05	3.320619e-03
1.528629e-01	1.049578e-01	3.720202e-05	3.096277e-03
1.565122e-01	1.112048e-01	3.167891e-05	2.364615e-03
1.601179e-01	1.163589e-01	2.621439e-05	3.414463e-03
1.637085e-01	1.225308e-01	4.049746e-05	2.871486e-03
1.672993e-01	1.278338e-01	2.988455e-05	2.453389e-03
1.708906e-01	1.337555e-01	3.116956e-05	2.447076e-03
1.744403e-01	1.381537e-01	2.584730e-05	2.289075e-03
1.780628e-01	1.464172e-01	2.908686e-05	3.107603e-03
1.817196e-01	1.531872e-01	1.936616e-05	2.578425e-03
1.853335e-01	1.584326e-01	2.769358e-05	2.134287e-03
1.889081e-01	1.660045e-01	3.770031e-05	3.151732e-03
1.925335e-01	1.723638e-01	2.411201e-05	3.024194e-03
1.961555e-01	1.764185e-01	2.598774e-05	2.421000e-03
1.997783e-01	1.866300e-01	2.022522e-05	2.995915e-03
2.033889e-01	1.915111e-01	3.403701e-05	3.048164e-03
2.069725e-01	1.983864e-01	2.294212e-05	3.310709e-03
2.105635e-01	2.069354e-01	1.766095e-05	3.308431e-03
2.141905e-01	2.115580e-01	1.990252e-05	3.026003e-03
2.178526e-01	2.190431e-01	1.912526e-05	2.837068e-03
2.214365e-01	2.282383e-01	2.073487e-05	3.280264e-03
