#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
6.385606e-03	4.326737e-02	2.491537e-04	6.330251e-03
9.378204e-03	5.001612e-02	2.047336e-04	3.566878e-03
1.227156e-02	5.606362e-02	1.154520e-04	5.409373e-03
1.531496e-02	6.072553e-02	1.023624e-04	2.496531e-03
1.847932e-02	7.129325e-02	6.631487e-05	3.458336e-03
2.142541e-02	7.003691e-02	6.027710e-05	2.634319e-03
2.447576e-02	7.850322e-02	7.404997e-05	3.266669e-03
2.747927e-02	7.961041e-02	5.157802e-05	3.038061e-03
3.057495e-02	9.327323e-02	4.908707e-05	2.440546e-03
3.355203e-02	1.014647e-01	4.733104e-05	2.171174e-03
3.667216e-02	1.085214e-01	5.179641e-05	3.606475e-03
3.972961e-02	1.113815e-01	3.388068e-05	4.047802e-03
4.275094e-02	1.196956e-01	5.509268e-05	2.787756e-03
4.589259e-02	1.256139e-01	4.849448e-05	3.337780e-03
4.898081e-02	1.296720e-01	6.441086e-05	3.121675e-03
5.203278e-02	1.423341e-01	3.475803e-05	2.330068e-03
5.505402e-02	1.454036e-01	2.971540e-05	3.946802e-03
5.813772e-02	1.543763e-01	3.834694e-05	1.949385e-03
6.123083e-02	1.557471e-01	4.003400e-05	2.391918e-03
6.422312e-02	1.631560e-01	3.804027e-05	2.979718e-03
6.729721e-02	1.673265e-01	3.479777e-05	3.726959e-03
7.032902e-02	1.748093e-01	2.781530e-05	2.750643e-03
7.342408e-02	1.759025e-01	3.416169e-05	3.538248e-03
7.648111e-02	1.822411e-01	2.347530e-05	2.233509e-03
7.952231e-02	1.835826e-01	2.904348e-05	2.556568e-03
8.260214e-02	1.933015e-01	2.408899e-05	2.375348e-03
8.565379e-02	1.962701e-01	2.530476e-05	2.768070e-03
8.872099e-02	2.024306e-01	1.872088e-05	2.173971e-03
9.182853e-02	2.057339e-01	1.310414e-05	2.579416e-03
9.484356e-02	2.109709e-01	2.384454e-05	2.452474e-03
9.791109e-02	2.160323e-01	2.031447e-05	1.922067e-03
1.009483e-01	2.182732e-01	1.788405e-05	1.768786e-03
1.040543e-01	2.230215e-01	2.391764e-05	2.418278e-03
1.071140e-01	2.295164e-01	3.076970e-05	1.902557e-03
1.101825e-01	2.280305e-01	2.507991e-05	2.745044e-03
1.132043e-01	2.349690e-01	2.075223e-05	2.480030e-03
1.162882e-01	2.391665e-01	1.250402e-05	2.041587e-03
1.193531e-01	2.423328e-01	2.440357e-05	2.515840e-03
1.224061e-01	2.484064e-01	1.628361e-05	2.135106e-03
1.254943e-01	2.527089e-01	1.777999e-05	1.997376e-03
1.285396e-01	2.569280e-01	1.415146e-05	2.127247e-03
1.316198e-01	2.614669e-01	1.998506e-05	2.532934e-03
1.346838e-01	2.651629e-01	2.053740e-05	1.609485e-03
1.377739e-01	2.696419e-01	1.843489e-05	1.874050e-03
1.408002e-01	2.736037e-01	2.070538e-05	1.829444e-03
1.438478e-01	2.776079e-01	2.347066e-05	1.815621e-03
