#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
1.477970e-02	2.363512e-02	1.439130e-04	2.978825e-03
1.839641e-02	2.517560e-02	1.603259e-04	2.048178e-03
2.145843e-02	2.318667e-02	1.428022e-04	2.210211e-03
2.450619e-02	2.971264e-02	2.260918e-04	2.719598e-03
2.784440e-02	2.877768e-02	1.215530e-04	1.834748e-03
3.100773e-02	2.855019e-02	6.740228e-05	1.878386e-03
3.403409e-02	3.215457e-02	8.785786e-05	2.097812e-03
3.730854e-02	3.362102e-02	1.136881e-04	1.385145e-03
4.051034e-02	3.714147e-02	6.571601e-05	1.704130e-03
4.369453e-02	4.219022e-02	4.998668e-05	1.775376e-03
4.700487e-02	4.467549e-02	5.834276e-05	1.916545e-03
5.013789e-02	4.720224e-02	8.132449e-05	2.491566e-03
5.325207e-02	4.910320e-02	8.697382e-05	3.090109e-03
5.661815e-02	5.272636e-02	3.786703e-05	1.285651e-03
5.972350e-02	5.562055e-02	7.651931e-05	1.750886e-03
6.295940e-02	5.748661e-02	5.480851e-05	2.874265e-03
6.610563e-02	6.284981e-02	3.931435e-05	2.271626e-03
6.931175e-02	6.617784e-02	4.853628e-05	2.105941e-03
7.240608e-02	7.155354e-02	4.824850e-05	1.327568e-03
7.578041e-02	7.036626e-02	5.389563e-05	2.043853e-03
7.892233e-02	7.602205e-02	3.674607e-05	2.074449e-03
8.209098e-02	7.887079e-02	4.847351e-05	1.306905e-03
8.533105e-02	8.237016e-02	4.815075e-05	2.360806e-03
8.845645e-02	8.561215e-02	3.385794e-05	1.591801e-03
9.168702e-02	9.002261e-02	6.073177e-05	2.689138e-03
9.492208e-02	9.406718e-02	3.261955e-05	2.773642e-03
9.809573e-02	9.776729e-02	3.092779e-05	1.248314e-03
1.013105e-01	1.029538e-01	3.749229e-05	1.210087e-03
1.045452e-01	1.067849e-01	4.277441e-05	1.804407e-03
1.076835e-01	1.113932e-01	3.688756e-05	2.906084e-03
1.109179e-01	1.164134e-01	3.906749e-05	1.966144e-03
1.141625e-01	1.184882e-01	3.582877e-05	2.848368e-03
1.174073e-01	1.296003e-01	3.547006e-05	2.344366e-03
1.205621e-01	1.337123e-01	1.903469e-05	2.526844e-03
1.237625e-01	1.400153e-01	4.430492e-05	2.696863e-03
1.269901e-01	1.430532e-01	2.669057e-05	2.734405e-03
1.302458e-01	1.514245e-01	2.638716e-05	3.099468e-03
1.333762e-01	1.519414e-01	2.855119e-05	2.872820e-03
1.366167e-01	1.601815e-01	2.179642e-05	1.912354e-03
1.398114e-01	1.626909e-01	2.228886e-05	3.090051e-03
1.429696e-01	1.683385e-01	3.068428e-05	2.918051e-03
1.461849e-01	1.757355e-01	1.489968e-05	2.584574e-03
1.494447e-01	1.833500e-01	2.852749e-05	2.266718e-03
1.526180e-01	1.905065e-01	1.487814e-05	2.894284e-03
1.558273e-01	1.941216e-01	2.669956e-05	1.493519e-03
1.590632e-01	2.032854e-01	1.771529e-05	2.521931e-03
1.622057e-01	2.069152e-01	1.743728e-05	2.704583e-03
1.653929e-01	2.159208e-01	3.047136e-05	2.257225e-03
1.686378e-01	2.233091e-01	2.014751e-05	2.125190e-03
1.717996e-01	2.292471e-01	3.008471e-05	2.218908e-03
1.750084e-01	2.359727e-01	2.753565e-05	2.315300e-03
1.782366e-01	2.441491e-01	2.666712e-05	1.952209e-03
1.814516e-01	2.473965e-01	1.704208e-05	2.373830e-03
1.846685e-01	2.543883e-01	1.562168e-05	1.781162e-03
1.878415e-01	2.620800e-01	2.013050e-05	2.434756e-03
1.910458e-01	2.663401e-01	1.682338e-05	2.313970e-03
1.942674e-01	2.727629e-01	1.996017e-05	2.419048e-03
1.974937e-01	2.792769e-01	2.063923e-05	2.477928e-03
2.006653e-01	2.831394e-01	1.486215e-05	2.262627e-03
2.038711e-01	2.893007e-01	1.412156e-05	1.973769e-03
2.070890e-01	2.968485e-01	1.512008e-05	2.330826e-03
2.102866e-01	3.036532e-01	1.888802e-05	2.216298e-03
2.134917e-01	3.078165e-01	1.121715e-05	1.899946e-03
2.167006e-01	3.123194e-01	1.720140e-05	2.156905e-03
2.199008e-01	3.197348e-01	2.008347e-05	2.084413e-03
2.231135e-01	3.236023e-01	1.347588e-05	9.931944e-04
2.262943e-01	3.306724e-01	1.304168e-05	1.945810e-03
2.294895e-01	3.349066e-01	1.470375e-05	1.957454e-03
2.327119e-01	3.415939e-01	1.065742e-05	1.733728e-03
2.359459e-01	3.456199e-01	1.411092e-05	2.058226e-03
2.391314e-01	3.523315e-01	1.455413e-05	2.200159e-03
2.423478e-01	3.560955e-01	1.964424e-05	1.689386e-03
2.455523e-01	3.618365e-01	1.506599e-05	1.779699e-03
2.487348e-01	3.658404e-01	1.634034e-05	1.613992e-03
2.519489e-01	3.701740e-01	1.776566e-05	1.315642e-03
2.551343e-01	3.756226e-01	1.002327e-05	1.393061e-03
2.583598e-01	3.804917e-01	1.312613e-05	1.575316e-03
2.615699e-01	3.844274e-01	1.241791e-05	1.240375e-03
2.647614e-01	3.889414e-01	1.510926e-05	1.143838e-03
2.679723e-01	3.920162e-01	1.551792e-05	1.189888e-03
2.711950e-01	3.966100e-01	1.626401e-05	1.524044e-03
2.743852e-01	4.018588e-01	1.093154e-05	1.393119e-03
2.775950e-01	4.041295e-01	1.110341e-05	1.869571e-03
2.807886e-01	4.065480e-01	1.355239e-05	1.140397e-03
2.840001e-01	4.117606e-01	1.096501e-05	9.464074e-04
2.872012e-01	4.161275e-01	1.398886e-05	1.189254e-03
2.904074e-01	4.169115e-01	1.098410e-05	8.022494e-04
2.935980e-01	4.225596e-01	1.337198e-05	9.762844e-04
2.968201e-01	4.250043e-01	1.254746e-05	8.014928e-04
3.000158e-01	4.294816e-01	1.627199e-05	1.072633e-03
