#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
4.199910e-02	7.866587e-03	3.222795e-04	9.436338e-04
4.824991e-02	7.487618e-03	2.254091e-04	8.625028e-04
5.069121e-02	7.722202e-03	2.034196e-04	7.960389e-04
5.376520e-02	8.449434e-03	2.927304e-04	7.158764e-04
5.709262e-02	7.739920e-03	1.856241e-04	5.045871e-04
6.031882e-02	7.601267e-03	2.110972e-04	7.411778e-04
6.329258e-02	7.414696e-03	1.706979e-04	4.967661e-04
6.622637e-02	8.084258e-03	2.321525e-04	7.067490e-04
6.925963e-02	7.335370e-03	1.885005e-04	4.621150e-04
7.253917e-02	9.665884e-03	1.986087e-04	5.614673e-04
7.538724e-02	9.326857e-03	1.766539e-04	7.671709e-04
7.871923e-02	8.578359e-03	1.814218e-04	7.254383e-04
8.183549e-02	9.402353e-03	1.230002e-04	6.836090e-04
8.491499e-02	9.214500e-03	1.565675e-04	5.252552e-04
8.819035e-02	1.014433e-02	9.907847e-05	8.575009e-04
9.110036e-02	1.007566e-02	1.059615e-04	3.927926e-04
9.403389e-02	9.748780e-03	1.366510e-04	5.949871e-04
9.709169e-02	1.050263e-02	1.464356e-04	6.179835e-04
1.002061e-01	9.801724e-03	9.449396e-05	4.065628e-04
1.032632e-01	1.130999e-02	1.239567e-04	5.700358e-04
1.064056e-01	1.132262e-02	7.121091e-05	7.347394e-04
1.094973e-01	1.302316e-02	8.155454e-05	1.215753e-03
1.126747e-01	1.257579e-02	1.300877e-04	9.021696e-04
1.157754e-01	1.264224e-02	7.201101e-05	6.669291e-04
1.188791e-01	1.339971e-02	7.425063e-05	9.109430e-04
1.219682e-01	1.415075e-02	8.149260e-05	1.052827e-03
1.249243e-01	1.690677e-02	6.803230e-05	9.174036e-04
1.280047e-01	1.607520e-02	5.976695e-05	1.184668e-03
1.312047e-01	1.533205e-02	7.590196e-05	7.929715e-04
1.342413e-01	1.633962e-02	1.179229e-04	7.337895e-04
1.373370e-01	2.006714e-02	4.504938e-05	7.053497e-04
1.404795e-01	1.926289e-02	4.438680e-05	1.044810e-03
1.434808e-01	2.067996e-02	8.130806e-05	8.023612e-04
1.467946e-01	2.166461e-02	3.083941e-05	1.282764e-03
1.496082e-01	2.365420e-02	7.784409e-05	1.091513e-03
1.527033e-01	2.324791e-02	4.639111e-05	1.132408e-03
1.559326e-01	2.487559e-02	8.217401e-05	1.374524e-03
1.588721e-01	2.809694e-02	4.685768e-05	1.331515e-03
1.620222e-01	3.103548e-02	5.495654e-05	9.554126e-04
1.651554e-01	3.141705e-02	6.158419e-05	6.142927e-04
1.683226e-01	3.602414e-02	4.920365e-05	1.266314e-03
1.713646e-01	3.526323e-02	7.284031e-05	1.698445e-03
1.744574e-01	4.062022e-02	4.787346e-05	1.889750e-03
1.774532e-01	4.273783e-02	6.545462e-05	1.697447e-03
1.805389e-01	4.998322e-02	4.756616e-05	1.498145e-03
1.837255e-01	5.167361e-02	4.092616e-05	2.377039e-03
1.867538e-01	5.893570e-02	5.253276e-05	1.961856e-03
1.898779e-01	6.251261e-02	5.464369e-05	2.098910e-03
1.929681e-01	6.532238e-02	5.334228e-05	2.259240e-03
1.960587e-01	7.110179e-02	2.866190e-05	2.211874e-03
1.991380e-01	7.889983e-02	3.694714e-05	2.377015e-03
2.022482e-01	8.560315e-02	3.012005e-05	2.388356e-03
2.052969e-01	9.472057e-02	2.641706e-05	2.364641e-03
2.083821e-01	1.035132e-01	2.641816e-05	2.768114e-03
2.115026e-01	1.136450e-01	2.368473e-05	2.634754e-03
2.145733e-01	1.205161e-01	1.698934e-05	2.813654e-03
2.176511e-01	1.328078e-01	2.254371e-05	2.682773e-03
2.207412e-01	1.384310e-01	2.321081e-05	4.521201e-03
2.238306e-01	1.497379e-01	2.388322e-05	3.066284e-03
2.269274e-01	1.611603e-01	1.951624e-05	3.612068e-03
2.300744e-01	1.728700e-01	1.939870e-05	4.636660e-03
2.331719e-01	1.840872e-01	2.573825e-05	2.639466e-03
2.362319e-01	1.910564e-01	2.690048e-05	2.530899e-03
2.393117e-01	2.054712e-01	2.101739e-05	4.043008e-03
2.423492e-01	2.149366e-01	2.212340e-05	3.527090e-03
2.454622e-01	2.218684e-01	1.556901e-05	3.678132e-03
2.485391e-01	2.339643e-01	1.480951e-05	4.107561e-03
2.516552e-01	2.457284e-01	1.770056e-05	3.387856e-03
2.547281e-01	2.585925e-01	1.750643e-05	3.972822e-03
2.578052e-01	2.660861e-01	2.050389e-05	3.957601e-03
2.609032e-01	2.765110e-01	1.648259e-05	4.246576e-03
2.639939e-01	2.880863e-01	1.581505e-05	3.494784e-03
2.671099e-01	2.983481e-01	1.607834e-05	3.603454e-03
2.701919e-01	3.098490e-01	8.022766e-06	2.176749e-03
2.733131e-01	3.203881e-01	1.745146e-05	2.411517e-03
2.763737e-01	3.297484e-01	8.263581e-06	3.101803e-03
2.794558e-01	3.420058e-01	1.374066e-05	2.110341e-03
2.825532e-01	3.482620e-01	1.097065e-05	3.128572e-03
2.856053e-01	3.568691e-01	1.641081e-05	3.225802e-03
2.887235e-01	3.687792e-01	1.188042e-05	2.491301e-03
2.918178e-01	3.762395e-01	8.871041e-06	2.551067e-03
2.949214e-01	3.842258e-01	1.243342e-05	2.182261e-03
2.979833e-01	3.933222e-01	1.104359e-05	2.322224e-03
3.010501e-01	4.007593e-01	1.278731e-05	2.356877e-03
3.041723e-01	4.084445e-01	1.552326e-05	1.979715e-03
3.072601e-01	4.156819e-01	1.489799e-05	2.132306e-03
3.103299e-01	4.229550e-01	7.184054e-06	2.239468e-03
3.134325e-01	4.309993e-01	7.971972e-06	2.036579e-03
3.165389e-01	4.385926e-01	1.523569e-05	1.920766e-03
3.196158e-01	4.454581e-01	8.599619e-06	1.714734e-03
3.226881e-01	4.526049e-01	1.065946e-05	1.774634e-03
3.257944e-01	4.586290e-01	1.002367e-05	1.850135e-03
3.288823e-01	4.647038e-01	6.470778e-06	1.651063e-03
3.319625e-01	4.723735e-01	1.162782e-05	1.608823e-03
3.350531e-01	4.774720e-01	8.743046e-06	1.821304e-03
3.381639e-01	4.820841e-01	7.549669e-06	1.610287e-03
3.412532e-01	4.882211e-01	1.064769e-05	1.142182e-03
3.443293e-01	4.932182e-01	1.074667e-05	1.505238e-03
3.474155e-01	4.982566e-01	7.585358e-06	1.100398e-03
3.505163e-01	5.045662e-01	1.373860e-05	1.085970e-03
3.536034e-01	5.091485e-01	1.117592e-05	9.853588e-04
3.566684e-01	5.132207e-01	8.890991e-06	1.135930e-03
3.597354e-01	5.169815e-01	1.952230e-05	8.739088e-04
3.627745e-01	5.197433e-01	2.771970e-05	8.943341e-04
3.658317e-01	5.232354e-01	4.717393e-05	1.135712e-03
3.688177e-01	5.276353e-01	6.002193e-05	9.011159e-04
3.718929e-01	5.290458e-01	4.252090e-05	1.010771e-03
3.747959e-01	5.339077e-01	9.851436e-05	1.456027e-03
3.777892e-01	5.299553e-01	1.716010e-04	3.041487e-03
