#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
2.448418e-01	3.482800e-03	4.766103e-04	6.626799e-04
2.684132e-01	5.668736e-03	4.400485e-04	1.568033e-03
2.731881e-01	3.333866e-03	4.330389e-04	2.883856e-04
2.785141e-01	6.047441e-03	3.352477e-04	1.749407e-03
2.841226e-01	5.868375e-03	4.068428e-04	1.919850e-03
2.898840e-01	6.695949e-03	5.246162e-04	2.187312e-03
2.950121e-01	5.620247e-03	3.618369e-04	8.829731e-04
3.008553e-01	6.451863e-03	1.912919e-04	1.301474e-03
3.063627e-01	7.085226e-03	3.021965e-04	1.399977e-03
3.114621e-01	7.251169e-03	2.992047e-04	9.242814e-04
3.168940e-01	6.729679e-03	1.880429e-04	8.241110e-04
3.226594e-01	8.760826e-03	2.652362e-04	1.549264e-03
3.278207e-01	9.187022e-03	1.800341e-04	1.160776e-03
3.334935e-01	1.079629e-02	1.363648e-04	1.440190e-03
3.384196e-01	9.145839e-03	1.322682e-04	1.027517e-03
3.443591e-01	1.424806e-02	1.997365e-04	1.289779e-03
3.497777e-01	1.385250e-02	1.907781e-04	1.626608e-03
3.552783e-01	1.527819e-02	9.146255e-05	1.226906e-03
3.605534e-01	1.530672e-02	1.130876e-04	1.144576e-03
3.660888e-01	1.786868e-02	6.256876e-05	1.536315e-03
3.714603e-01	1.995693e-02	1.526421e-04	9.210425e-04
3.770865e-01	2.298561e-02	1.642587e-04	7.286119e-04
3.823584e-01	2.367156e-02	1.499251e-04	1.484422e-03
3.878998e-01	2.906291e-02	1.196711e-04	2.048221e-03
3.933575e-01	2.972116e-02	1.414613e-04	1.027620e-03
3.988105e-01	3.449519e-02	8.501424e-05	1.659756e-03
4.041112e-01	3.798761e-02	7.072735e-05	1.805549e-03
4.096592e-01	4.334560e-02	5.942885e-05	1.696588e-03
4.150398e-01	4.793546e-02	7.055441e-05	2.822492e-03
4.205771e-01	5.782820e-02	8.158165e-05	3.282394e-03
4.260418e-01	6.607434e-02	7.606240e-05	2.700981e-03
4.313209e-01	7.820943e-02	5.254113e-05	2.744034e-03
4.367912e-01	9.016574e-02	6.993264e-05	3.128243e-03
4.422788e-01	1.007365e-01	3.098225e-05	2.023262e-03
4.476466e-01	1.230179e-01	4.994586e-05	2.912713e-03
4.532049e-01	1.368436e-01	2.848024e-05	2.558514e-03
4.585695e-01	1.551481e-01	3.967078e-05	2.487231e-03
4.641431e-01	1.757194e-01	3.658207e-05	4.035497e-03
4.694752e-01	1.944317e-01	2.067337e-05	3.565170e-03
4.749721e-01	2.179326e-01	1.535572e-05	3.608652e-03
4.804154e-01	2.382632e-01	2.500018e-05	3.038120e-03
4.858859e-01	2.588535e-01	2.464224e-05	3.010973e-03
4.913331e-01	2.816565e-01	1.780248e-05	2.351377e-03
4.967632e-01	3.005687e-01	2.012311e-05	2.703532e-03
5.022448e-01	3.236469e-01	1.705937e-05	2.176843e-03
5.077007e-01	3.435465e-01	1.738981e-05	1.442619e-03
5.131447e-01	3.591913e-01	1.550495e-05	1.884350e-03
5.185862e-01	3.759123e-01	8.250115e-06	1.867647e-03
5.240058e-01	3.933980e-01	1.503103e-05	1.547806e-03
5.294684e-01	4.078075e-01	1.353148e-05	1.550683e-03
5.349163e-01	4.207141e-01	2.081148e-05	2.141392e-03
5.403582e-01	4.324613e-01	1.800582e-05	1.530158e-03
5.457791e-01	4.457980e-01	1.706542e-05	1.067140e-03
5.512472e-01	4.559701e-01	1.588455e-05	1.620113e-03
5.567076e-01	4.674833e-01	1.226152e-05	1.338825e-03
5.621438e-01	4.765546e-01	1.407381e-05	1.252929e-03
5.676042e-01	4.858078e-01	1.178636e-05	1.400667e-03
5.730449e-01	4.946727e-01	1.347958e-05	1.253330e-03
5.785122e-01	5.028284e-01	6.231835e-06	1.300832e-03
5.839371e-01	5.104742e-01	1.313081e-05	9.012805e-04
5.894017e-01	5.179092e-01	5.909361e-06	9.109812e-04
5.948542e-01	5.242756e-01	1.492461e-05	8.634779e-04
6.002876e-01	5.302426e-01	1.059350e-05	8.378448e-04
6.057354e-01	5.379609e-01	1.177216e-05	8.350890e-04
6.112130e-01	5.430678e-01	7.054037e-06	5.934043e-04
6.166665e-01	5.489260e-01	8.532453e-06	9.185345e-04
6.221138e-01	5.538116e-01	5.956299e-06	8.075304e-04
6.275504e-01	5.589519e-01	9.572369e-06	5.132084e-04
6.329897e-01	5.639907e-01	1.025282e-05	5.530797e-04
6.384459e-01	5.685306e-01	7.118596e-06	5.830423e-04
6.439078e-01	5.723145e-01	1.071333e-05	4.473343e-04
6.493575e-01	5.764207e-01	1.313482e-05	6.453988e-04
6.548091e-01	5.808786e-01	9.090267e-06	3.670392e-04
6.602536e-01	5.839254e-01	7.114993e-06	2.158416e-04
6.656939e-01	5.873928e-01	8.873352e-06	3.715856e-04
6.711426e-01	5.904905e-01	7.204680e-06	3.093360e-04
6.766082e-01	5.940697e-01	8.149724e-06	3.726750e-04
6.820416e-01	5.975420e-01	8.709016e-06	2.523939e-04
6.874783e-01	6.000715e-01	1.843539e-05	3.669278e-04
6.929030e-01	6.028616e-01	1.858974e-05	2.346134e-04
6.980677e-01	6.055573e-01	3.101301e-05	4.052249e-04
7.031407e-01	6.086078e-01	5.622214e-05	4.346957e-04
7.080226e-01	6.121370e-01	9.585986e-05	1.169998e-03
7.129949e-01	6.155675e-01	1.204935e-04	2.549164e-03
