#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
4.386975e-02	1.130153e-02	3.100376e-04	1.570735e-03
4.747490e-02	1.280942e-02	3.469062e-04	1.320712e-03
5.091965e-02	1.269825e-02	2.294686e-04	1.251091e-03
5.421976e-02	1.211154e-02	1.672087e-04	1.394375e-03
5.802955e-02	1.356425e-02	1.864144e-04	1.105187e-03
6.153950e-02	1.308579e-02	1.671716e-04	1.260192e-03
6.506117e-02	1.360177e-02	1.631448e-04	8.691872e-04
6.848970e-02	1.217548e-02	2.172026e-04	7.447633e-04
7.191949e-02	1.197236e-02	1.876916e-04	9.057006e-04
7.557684e-02	1.308722e-02	1.753056e-04	1.130074e-03
7.915687e-02	1.252116e-02	1.424202e-04	1.272782e-03
8.228968e-02	1.224460e-02	1.367696e-04	8.772516e-04
8.636635e-02	1.467563e-02	1.279624e-04	9.849531e-04
8.951459e-02	1.445581e-02	1.066903e-04	1.041871e-03
9.335585e-02	1.431274e-02	1.562721e-04	9.880684e-04
9.655852e-02	1.456181e-02	1.328192e-04	1.182327e-03
1.000952e-01	1.541703e-02	1.120520e-04	1.298718e-03
1.033817e-01	1.655933e-02	9.814536e-05	8.532626e-04
1.070190e-01	1.704060e-02	1.184428e-04	1.558633e-03
1.106380e-01	1.530107e-02	1.290243e-04	1.414130e-03
1.140350e-01	1.707646e-02	1.024473e-04	1.210285e-03
1.174378e-01	1.894571e-02	1.471542e-04	1.066584e-03
1.209579e-01	1.902835e-02	7.451882e-05	1.430151e-03
1.245837e-01	2.025065e-02	1.357854e-04	1.907768e-03
1.280986e-01	2.181835e-02	8.374075e-05	1.083113e-03
1.316126e-01	2.194065e-02	1.110991e-04	1.743132e-03
1.350070e-01	2.358261e-02	1.204336e-04	1.359804e-03
1.386759e-01	2.298124e-02	1.010806e-04	1.580361e-03
1.420382e-01	2.445263e-02	7.765597e-05	1.425547e-03
1.455783e-01	2.983201e-02	1.096997e-04	2.261478e-03
1.490915e-01	3.186989e-02	7.490447e-05	2.192989e-03
1.525447e-01	3.168430e-02	6.498359e-05	1.686043e-03
1.561457e-01	3.425490e-02	7.669660e-05	2.236600e-03
1.595949e-01	3.833684e-02	9.000126e-05	2.697411e-03
1.629367e-01	3.728352e-02	8.525848e-05	1.998016e-03
1.665159e-01	3.760966e-02	7.884313e-05	1.546565e-03
1.702062e-01	4.302647e-02	6.167585e-05	2.162992e-03
1.736813e-01	4.561312e-02	7.269597e-05	2.727074e-03
1.771734e-01	5.411156e-02	7.604508e-05	2.586127e-03
1.805834e-01	5.891146e-02	6.195668e-05	3.054871e-03
1.840980e-01	6.053594e-02	5.472917e-05	3.362552e-03
1.875947e-01	6.440789e-02	6.255113e-05	2.546695e-03
1.911597e-01	7.149818e-02	4.157744e-05	3.075755e-03
1.946068e-01	7.333767e-02	6.413032e-05	3.141207e-03
1.981115e-01	8.682995e-02	6.905555e-05	2.673925e-03
2.016860e-01	9.153430e-02	6.536953e-05	3.534807e-03
2.051495e-01	9.668871e-02	5.450386e-05	2.159321e-03
2.086575e-01	1.088332e-01	3.106216e-05	4.375658e-03
2.121250e-01	1.161643e-01	5.561333e-05	4.911763e-03
2.156265e-01	1.211179e-01	5.881263e-05	3.780316e-03
2.191074e-01	1.301991e-01	2.016621e-05	4.548831e-03
2.226724e-01	1.391388e-01	2.026297e-05	4.619841e-03
2.261751e-01	1.493220e-01	2.051461e-05	5.049288e-03
2.296738e-01	1.587495e-01	3.466136e-05	3.798118e-03
2.331664e-01	1.750200e-01	2.283925e-05	4.145210e-03
2.366645e-01	1.853688e-01	1.805436e-05	6.006296e-03
2.401899e-01	1.930554e-01	2.175198e-05	5.712343e-03
2.436660e-01	2.025382e-01	2.994553e-05	3.745304e-03
2.471398e-01	2.148166e-01	3.408658e-05	3.469636e-03
2.506742e-01	2.243273e-01	2.153068e-05	4.043307e-03
2.541926e-01	2.323304e-01	1.547416e-05	3.667688e-03
2.576836e-01	2.443425e-01	2.458069e-05	5.547499e-03
2.612211e-01	2.549446e-01	3.191417e-05	5.256265e-03
2.647189e-01	2.644375e-01	2.718287e-05	5.694735e-03
2.682031e-01	2.779797e-01	1.795752e-05	4.207588e-03
2.716869e-01	2.855279e-01	2.964680e-05	2.946933e-03
2.752303e-01	2.946580e-01	1.475589e-05	3.773584e-03
2.787138e-01	3.080483e-01	2.740705e-05	4.327664e-03
2.822053e-01	3.150962e-01	2.468340e-05	4.669686e-03
2.857236e-01	3.277825e-01	2.226871e-05	4.341684e-03
2.892388e-01	3.359420e-01	2.091355e-05	4.276943e-03
2.927196e-01	3.438985e-01	1.687876e-05	4.180884e-03
2.962221e-01	3.528190e-01	2.039795e-05	3.388186e-03
2.996994e-01	3.603835e-01	2.468003e-05	3.988599e-03
3.032331e-01	3.696012e-01	2.360191e-05	3.818555e-03
3.067427e-01	3.782152e-01	2.151340e-05	3.540658e-03
3.102635e-01	3.845526e-01	1.571899e-05	3.044755e-03
3.137652e-01	3.938816e-01	2.732102e-05	2.978718e-03
3.172702e-01	4.010815e-01	1.186605e-05	2.743040e-03
3.207729e-01	4.098667e-01	1.999552e-05	2.982701e-03
3.242517e-01	4.140022e-01	1.566266e-05	2.547138e-03
3.277434e-01	4.236515e-01	2.814550e-05	2.006308e-03
3.312579e-01	4.309708e-01	2.112843e-05	1.867142e-03
3.347975e-01	4.382168e-01	1.893805e-05	2.173497e-03
3.382561e-01	4.432253e-01	2.218304e-05	1.481583e-03
3.417603e-01	4.489605e-01	1.924546e-05	1.963013e-03
3.452606e-01	4.547429e-01	9.357472e-06	1.797729e-03
3.487730e-01	4.606546e-01	1.400815e-05	1.826471e-03
3.523091e-01	4.657703e-01	1.519019e-05	1.673815e-03
3.558033e-01	4.712428e-01	1.345134e-05	1.727955e-03
3.592878e-01	4.739896e-01	1.663269e-05	1.733322e-03
3.627889e-01	4.804000e-01	1.320873e-05	1.110966e-03
3.662907e-01	4.851267e-01	1.314496e-05	1.581293e-03
3.697941e-01	4.908550e-01	1.790448e-05	1.473877e-03
3.732904e-01	4.940842e-01	1.787069e-05	1.182813e-03
3.767938e-01	4.985408e-01	1.178157e-05	1.240770e-03
3.803345e-01	5.029185e-01	1.045882e-05	8.693246e-04
3.838312e-01	5.055565e-01	8.515666e-06	1.035051e-03
3.873253e-01	5.093357e-01	1.339231e-05	7.689435e-04
3.908195e-01	5.136262e-01	8.992324e-06	7.506937e-04
3.943127e-01	5.166293e-01	9.575891e-06	9.362331e-04
3.978098e-01	5.210084e-01	1.434239e-05	8.378002e-04
4.012530e-01	5.240533e-01	2.965457e-05	1.014719e-03
4.047226e-01	5.255653e-01	5.225972e-05	4.832311e-04
4.082370e-01	5.288298e-01	3.601240e-05	7.743888e-04
4.116142e-01	5.319206e-01	5.868517e-05	1.298054e-03
4.150333e-01	5.345961e-01	6.709516e-05	1.646065e-03
4.185116e-01	5.369073e-01	1.108391e-04	1.831634e-03
4.218761e-01	5.395775e-01	1.540375e-04	2.023652e-03
