#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
1.321924e-02	3.304763e-02	3.120483e-04	4.271380e-03
1.698589e-02	3.146421e-02	1.980972e-04	4.096372e-03
2.004717e-02	3.944884e-02	1.666411e-04	3.700620e-03
2.351621e-02	3.691537e-02	1.390176e-04	2.302795e-03
2.673688e-02	3.951964e-02	1.026172e-04	4.532633e-03
2.998916e-02	4.339985e-02	1.055265e-04	1.583389e-03
3.328068e-02	4.093930e-02	9.270341e-05	2.289898e-03
3.652151e-02	4.662733e-02	7.305041e-05	2.604250e-03
3.978437e-02	5.150147e-02	1.091985e-04	1.673009e-03
4.331295e-02	5.018737e-02	8.754779e-05	2.022208e-03
4.645591e-02	5.652534e-02	5.826693e-05	2.143431e-03
4.980819e-02	6.164230e-02	5.446162e-05	2.092196e-03
5.310136e-02	6.037650e-02	8.560663e-05	2.403618e-03
5.645181e-02	6.150559e-02	3.935434e-05	1.903547e-03
5.980707e-02	6.751187e-02	4.541427e-05	2.163212e-03
6.311637e-02	6.909106e-02	4.845657e-05	1.715405e-03
6.634090e-02	7.413996e-02	5.989571e-05	2.421009e-03
6.965696e-02	7.414909e-02	3.576776e-05	1.565120e-03
7.299864e-02	7.915974e-02	5.155434e-05	3.679103e-03
7.622752e-02	8.255300e-02	3.762899e-05	2.555676e-03
7.962016e-02	8.989794e-02	4.627197e-05	2.509750e-03
8.293696e-02	9.241543e-02	5.862614e-05	2.602382e-03
8.618698e-02	9.789191e-02	3.762796e-05	3.076831e-03
8.954142e-02	9.746420e-02	2.406473e-05	1.571676e-03
9.287852e-02	1.005909e-01	3.873897e-05	2.270186e-03
9.619285e-02	1.062242e-01	4.199559e-05	3.019108e-03
9.952181e-02	1.128742e-01	4.939171e-05	1.866940e-03
1.028547e-01	1.182670e-01	3.556705e-05	1.817107e-03
1.060941e-01	1.177281e-01	3.719633e-05	2.546673e-03
1.094759e-01	1.279878e-01	2.733630e-05	3.081322e-03
1.126948e-01	1.309199e-01	3.570120e-05	1.898208e-03
1.160750e-01	1.358923e-01	2.359230e-05	2.473774e-03
1.193845e-01	1.401071e-01	3.685044e-05	2.742469e-03
1.226890e-01	1.414665e-01	2.998068e-05	3.575333e-03
1.260213e-01	1.502647e-01	2.695668e-05	2.373610e-03
1.293472e-01	1.524229e-01	2.512086e-05	3.265453e-03
1.326320e-01	1.578880e-01	2.712559e-05	2.561961e-03
1.359459e-01	1.651627e-01	3.010587e-05	2.746943e-03
1.393131e-01	1.690118e-01	2.756235e-05	4.096114e-03
1.426025e-01	1.738341e-01	2.134967e-05	2.625152e-03
1.458917e-01	1.810451e-01	1.614540e-05	1.885954e-03
1.492376e-01	1.850846e-01	1.445242e-05	2.271969e-03
1.525564e-01	1.869196e-01	2.752118e-05	1.932285e-03
1.558796e-01	1.972281e-01	2.748213e-05	2.127819e-03
1.591620e-01	1.975036e-01	1.746500e-05	2.167246e-03
1.625176e-01	2.042782e-01	1.857249e-05	2.149184e-03
1.658054e-01	2.068854e-01	3.044664e-05	2.855904e-03
1.691371e-01	2.143921e-01	2.020795e-05	2.580262e-03
1.724352e-01	2.227337e-01	2.575824e-05	2.082959e-03
1.757808e-01	2.263519e-01	3.640046e-05	1.826285e-03
1.790633e-01	2.305085e-01	1.628636e-05	2.321830e-03
1.823486e-01	2.359082e-01	1.580912e-05	1.856681e-03
1.856996e-01	2.407301e-01	1.906468e-05	1.712370e-03
1.890364e-01	2.465760e-01	2.083962e-05	2.241573e-03
