#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
1.369928e-02	3.106267e-02	1.675086e-04	4.602800e-03
1.746520e-02	3.265069e-02	1.775605e-04	1.928235e-03
2.058735e-02	3.144186e-02	1.626347e-04	1.970367e-03
2.402903e-02	3.563086e-02	1.679983e-04	2.192292e-03
2.733606e-02	3.983705e-02	8.465952e-05	2.258473e-03
3.074747e-02	3.944124e-02	5.836103e-05	2.497868e-03
3.396571e-02	4.130780e-02	5.837260e-05	1.105014e-03
3.760215e-02	4.482137e-02	8.322197e-05	1.663899e-03
4.068128e-02	4.685922e-02	7.934397e-05	2.043779e-03
4.408930e-02	5.112110e-02	6.938236e-05	1.940228e-03
4.748373e-02	5.466442e-02	8.095377e-05	1.946003e-03
5.075549e-02	5.741656e-02	4.810251e-05	2.064892e-03
5.404562e-02	6.207243e-02	6.434189e-05	2.248006e-03
5.748061e-02	6.267885e-02	4.192455e-05	2.178112e-03
6.081396e-02	6.601146e-02	5.776517e-05	3.329753e-03
6.412182e-02	7.217698e-02	4.140072e-05	1.968149e-03
6.753310e-02	7.156876e-02	4.339218e-05	1.105096e-03
7.086174e-02	7.930615e-02	5.437350e-05	1.269822e-03
7.418063e-02	8.345803e-02	3.504179e-05	1.879651e-03
7.758681e-02	8.354666e-02	4.484887e-05	2.287141e-03
8.091199e-02	8.937493e-02	3.820854e-05	1.821865e-03
8.430698e-02	9.187089e-02	3.328147e-05	2.129029e-03
8.763340e-02	9.487930e-02	3.547508e-05	2.329505e-03
9.101086e-02	1.017753e-01	3.948787e-05	1.230689e-03
9.439141e-02	1.053561e-01	3.161818e-05	1.488137e-03
9.770138e-02	1.070686e-01	3.502321e-05	1.829933e-03
1.010227e-01	1.129272e-01	2.123200e-05	1.962189e-03
1.044586e-01	1.150106e-01	2.470955e-05	2.084038e-03
1.077859e-01	1.199950e-01	2.621654e-05	1.945054e-03
1.111115e-01	1.216555e-01	2.708879e-05	2.213729e-03
1.144670e-01	1.298175e-01	3.908520e-05	2.036770e-03
1.178511e-01	1.343523e-01	2.326788e-05	2.167281e-03
1.211332e-01	1.387611e-01	2.043298e-05	2.110438e-03
1.245144e-01	1.451424e-01	2.405778e-05	1.580650e-03
1.278702e-01	1.488601e-01	2.101367e-05	1.675871e-03
1.312625e-01	1.516005e-01	2.223039e-05	8.617643e-04
1.346336e-01	1.614323e-01	3.142670e-05	1.898808e-03
1.379726e-01	1.648551e-01	2.494643e-05	2.173171e-03
1.412958e-01	1.671922e-01	1.826777e-05	2.087944e-03
1.446289e-01	1.753659e-01	2.702765e-05	2.291401e-03
1.479733e-01	1.793265e-01	2.587262e-05	2.259715e-03
1.513506e-01	1.837701e-01	1.975292e-05	1.882226e-03
1.547005e-01	1.893505e-01	1.939581e-05	1.735890e-03
1.580833e-01	1.938555e-01	1.068354e-05	1.988955e-03
1.614071e-01	1.999846e-01	2.185736e-05	1.922912e-03
1.647275e-01	2.059437e-01	2.050713e-05	2.354595e-03
1.681160e-01	2.119967e-01	2.439379e-05	1.696292e-03
1.714591e-01	2.168023e-01	1.628920e-05	2.575020e-03
1.748057e-01	2.228842e-01	1.133014e-05	2.048638e-03
1.781832e-01	2.274838e-01	1.779676e-05	2.352923e-03
1.815050e-01	2.344699e-01	1.895273e-05	1.368419e-03
1.848649e-01	2.384211e-01	1.454625e-05	1.850486e-03
1.882265e-01	2.443335e-01	1.481727e-05	1.685863e-03
1.915437e-01	2.482498e-01	2.079368e-05	1.673810e-03
1.949107e-01	2.552579e-01	1.717036e-05	2.072282e-03
1.983080e-01	2.583209e-01	1.522883e-05	1.577565e-03
2.016545e-01	2.636781e-01	1.046529e-05	1.280176e-03
2.050233e-01	2.694854e-01	1.136137e-05	1.529501e-03
2.083746e-01	2.763170e-01	1.842841e-05	1.772406e-03
2.117261e-01	2.801807e-01	8.511271e-06	1.395786e-03
2.150644e-01	2.861593e-01	1.176815e-05	1.826388e-03
2.183887e-01	2.916008e-01	1.341578e-05	1.840257e-03
2.217308e-01	2.965982e-01	1.345663e-05	1.287653e-03
2.251076e-01	3.007198e-01	1.112440e-05	1.682543e-03
2.284908e-01	3.062432e-01	1.570859e-05	1.411511e-03
2.318186e-01	3.113410e-01	1.498712e-05	1.399828e-03
2.351531e-01	3.160570e-01	2.062601e-05	1.504199e-03
2.385355e-01	3.210121e-01	1.938125e-05	9.798250e-04
2.419034e-01	3.270413e-01	1.373651e-05	1.172891e-03
2.452123e-01	3.315849e-01	1.937604e-05	9.505882e-04
2.485848e-01	3.346879e-01	1.308951e-05	1.596094e-03
2.519393e-01	3.380496e-01	9.972093e-06	1.214328e-03
2.552832e-01	3.435836e-01	1.244325e-05	1.695629e-03
2.586548e-01	3.489732e-01	1.624308e-05	1.038902e-03
2.620084e-01	3.513739e-01	1.307272e-05	1.523178e-03
2.653514e-01	3.545708e-01	1.673495e-05	1.372116e-03
2.687121e-01	3.604267e-01	9.979853e-06	1.407259e-03
2.720655e-01	3.650236e-01	9.910162e-06	1.311858e-03
2.754193e-01	3.682310e-01	1.010410e-05	1.252049e-03
2.787824e-01	3.721663e-01	9.641889e-06	1.209025e-03
2.821253e-01	3.755569e-01	6.796296e-06	1.319071e-03
2.854527e-01	3.793388e-01	8.610051e-06	9.379898e-04
2.888296e-01	3.839801e-01	1.127585e-05	8.224678e-04
2.921945e-01	3.862620e-01	1.190060e-05	9.355465e-04
2.955494e-01	3.904208e-01	1.079276e-05	9.613060e-04
2.988949e-01	3.953548e-01	1.618710e-05	7.360978e-04
3.022509e-01	3.991852e-01	1.013191e-05	8.250361e-04
3.055972e-01	4.011181e-01	9.027803e-06	1.282212e-03
3.089457e-01	4.052594e-01	5.891591e-06	7.227104e-04
3.123018e-01	4.084003e-01	9.934586e-06	1.034677e-03
3.156568e-01	4.116338e-01	1.092364e-05	7.868878e-04
3.190079e-01	4.144627e-01	1.027778e-05	1.059228e-03
3.223781e-01	4.184566e-01	8.776211e-06	9.201335e-04
3.257202e-01	4.202334e-01	8.969942e-06	8.372244e-04
3.290554e-01	4.241211e-01	8.683667e-06	1.116654e-03
3.324104e-01	4.258095e-01	8.304040e-06	7.848601e-04
3.357658e-01	4.294789e-01	7.779197e-06	7.081452e-04
3.391230e-01	4.326441e-01	1.300452e-05	9.658631e-04
3.424958e-01	4.354948e-01	6.330856e-06	7.106423e-04
3.458484e-01	4.388784e-01	8.560219e-06	8.905498e-04
3.491963e-01	4.411971e-01	8.069152e-06	7.429702e-04
3.525526e-01	4.438592e-01	9.706683e-06	9.227807e-04
3.558975e-01	4.465487e-01	8.766466e-06	9.947233e-04
3.592573e-01	4.491939e-01	7.052533e-06	7.687557e-04
3.626006e-01	4.516646e-01	8.896647e-06	7.822525e-04
3.659368e-01	4.535362e-01	5.891946e-06	7.101578e-04
3.692874e-01	4.568801e-01	1.566551e-05	4.882836e-04
3.726180e-01	4.587681e-01	2.323465e-05	7.276458e-04
3.759561e-01	4.602501e-01	1.033850e-05	4.992250e-04
3.792346e-01	4.620214e-01	2.602907e-05	6.799044e-04
3.825013e-01	4.637146e-01	3.960912e-05	4.445235e-04
3.858056e-01	4.663089e-01	3.439843e-05	5.008815e-04
3.891026e-01	4.684745e-01	5.682850e-05	7.104311e-04
3.924460e-01	4.670928e-01	7.221911e-05	1.958082e-03
3.958145e-01	4.694962e-01	9.247436e-05	1.928987e-03
3.987451e-01	4.728741e-01	1.741448e-04	3.347608e-03
