#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
2.624636e-02	1.035969e-02	2.736268e-04	1.124229e-03
2.877597e-02	1.244886e-02	2.735579e-04	1.052400e-03
3.163962e-02	9.731150e-03	2.896685e-04	1.501578e-03
3.483653e-02	1.101297e-02	1.664568e-04	7.157865e-04
3.807998e-02	1.256226e-02	1.176268e-04	5.617613e-04
4.119340e-02	1.275334e-02	1.032104e-04	1.038112e-03
4.413563e-02	1.156796e-02	1.833375e-04	6.303728e-04
4.711294e-02	1.303605e-02	1.125067e-04	7.790279e-04
5.012810e-02	1.387442e-02	1.025153e-04	4.852247e-04
5.332100e-02	1.197839e-02	1.670522e-04	4.511396e-04
5.631435e-02	1.280114e-02	9.107481e-05	6.683382e-04
5.942419e-02	1.549758e-02	1.163214e-04	6.994499e-04
6.238007e-02	1.336707e-02	6.528108e-05	4.204127e-04
6.552462e-02	1.442902e-02	1.016142e-04	9.147024e-04
6.848153e-02	1.419384e-02	6.740776e-05	7.165556e-04
7.154189e-02	1.372803e-02	7.172556e-05	5.968576e-04
7.453682e-02	1.517388e-02	6.814611e-05	5.426515e-04
7.767204e-02	1.507901e-02	7.376263e-05	7.113133e-04
8.049610e-02	1.556641e-02	6.735334e-05	7.167924e-04
8.366227e-02	1.732181e-02	3.116916e-05	9.190764e-04
8.672580e-02	1.757655e-02	5.875017e-05	8.149879e-04
8.977972e-02	1.624392e-02	6.316906e-05	5.647585e-04
9.283371e-02	1.831340e-02	6.594776e-05	4.432619e-04
9.583394e-02	1.853231e-02	4.149929e-05	9.709068e-04
9.891138e-02	2.097813e-02	7.038532e-05	8.662730e-04
1.020362e-01	2.226455e-02	7.725394e-05	6.527253e-04
1.050399e-01	2.293666e-02	3.416036e-05	7.784303e-04
1.080981e-01	2.536800e-02	4.477785e-05	9.730328e-04
1.111243e-01	2.601133e-02	4.825184e-05	9.709814e-04
1.142013e-01	2.654073e-02	2.769817e-05	8.644345e-04
1.171601e-01	2.935296e-02	3.865339e-05	8.118463e-04
1.202139e-01	3.106797e-02	5.322381e-05	1.012311e-03
1.231725e-01	3.330405e-02	5.053016e-05	1.270511e-03
1.264003e-01	3.265313e-02	6.039899e-05	8.830131e-04
1.294247e-01	3.704144e-02	4.445274e-05	1.484829e-03
1.324168e-01	3.931889e-02	6.832564e-05	1.560019e-03
1.355535e-01	4.211445e-02	3.304391e-05	1.177930e-03
1.385921e-01	4.346929e-02	3.970216e-05	7.916877e-04
1.415923e-01	4.785463e-02	4.475150e-05	1.331553e-03
1.446412e-01	5.235325e-02	3.291804e-05	1.568175e-03
1.477388e-01	5.769302e-02	3.642664e-05	1.385480e-03
1.507240e-01	6.083200e-02	4.072565e-05	1.938846e-03
1.537556e-01	6.619115e-02	5.800807e-05	1.368842e-03
1.568290e-01	6.779471e-02	2.137780e-05	1.836387e-03
1.598971e-01	7.644871e-02	2.722749e-05	2.273123e-03
1.629275e-01	8.012568e-02	3.977619e-05	1.975981e-03
1.659660e-01	8.832391e-02	3.956181e-05	1.175489e-03
1.690247e-01	9.408326e-02	2.357702e-05	2.033109e-03
1.720954e-01	9.851829e-02	2.443149e-05	1.564443e-03
1.751566e-01	1.068725e-01	2.589472e-05	2.458082e-03
1.781722e-01	1.147628e-01	1.352615e-05	1.490436e-03
1.812420e-01	1.243701e-01	2.040596e-05	2.125491e-03
1.842681e-01	1.313506e-01	2.305738e-05	1.990131e-03
1.873233e-01	1.392094e-01	1.393863e-05	3.024209e-03
1.903620e-01	1.488029e-01	2.321862e-05	1.756913e-03
1.933945e-01	1.618508e-01	2.775564e-05	2.307004e-03
1.964868e-01	1.679683e-01	2.046040e-05	3.187683e-03
1.995203e-01	1.788312e-01	1.834737e-05	2.209308e-03
2.025673e-01	1.873242e-01	2.138056e-05	2.903947e-03
2.055976e-01	1.956283e-01	1.960974e-05	2.057442e-03
2.086406e-01	2.106583e-01	1.516170e-05	1.965237e-03
2.116710e-01	2.172805e-01	1.672060e-05	2.482697e-03
2.147532e-01	2.255317e-01	8.458901e-06	1.698665e-03
2.178048e-01	2.374915e-01	1.212427e-05	2.485191e-03
2.208624e-01	2.455019e-01	1.063135e-05	2.214399e-03
2.239040e-01	2.549828e-01	1.208828e-05	2.486012e-03
2.269449e-01	2.606827e-01	1.417519e-05	2.741778e-03
2.299654e-01	2.723180e-01	1.838938e-05	2.470703e-03
2.330396e-01	2.802896e-01	2.172371e-05	2.890918e-03
2.360918e-01	2.892162e-01	1.173555e-05	2.624805e-03
