#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
5.381062e-03	4.318290e-02	2.134014e-04	9.540720e-03
8.054551e-03	4.714764e-02	2.575032e-04	5.214238e-03
1.098928e-02	5.607603e-02	1.030487e-04	5.427825e-03
1.404657e-02	5.260953e-02	6.815510e-05	3.115727e-03
1.707051e-02	5.527236e-02	1.048199e-04	3.050838e-03
1.995096e-02	6.229851e-02	7.558272e-05	3.894160e-03
2.293441e-02	6.651818e-02	6.370088e-05	3.378608e-03
2.585621e-02	7.914168e-02	5.455189e-05	4.813822e-03
2.886203e-02	7.728798e-02	9.441405e-05	2.828243e-03
3.169770e-02	8.673318e-02	6.783088e-05	3.660935e-03
3.471394e-02	9.571288e-02	5.333560e-05	2.560176e-03
3.764076e-02	1.051213e-01	4.432557e-05	2.763169e-03
4.061096e-02	1.096702e-01	4.669626e-05	4.317913e-03
4.355177e-02	1.149912e-01	2.789268e-05	3.292214e-03
4.655979e-02	1.221157e-01	2.834608e-05	4.077461e-03
4.950845e-02	1.269093e-01	5.419435e-05	2.298699e-03
5.248965e-02	1.326259e-01	4.223776e-05	2.748925e-03
5.540220e-02	1.376415e-01	4.409068e-05	4.010579e-03
5.838739e-02	1.435059e-01	2.856456e-05	2.836235e-03
6.129658e-02	1.496513e-01	5.220028e-05	3.212875e-03
6.430462e-02	1.546181e-01	2.450624e-05	2.925689e-03
6.720970e-02	1.605820e-01	1.896909e-05	3.172503e-03
7.013898e-02	1.657325e-01	3.423449e-05	3.624640e-03
7.315300e-02	1.711158e-01	3.828616e-05	3.085540e-03
7.610644e-02	1.756251e-01	2.705978e-05	3.407395e-03
7.904087e-02	1.808875e-01	2.107252e-05	3.490528e-03
8.204774e-02	1.839543e-01	1.561153e-05	3.226278e-03
8.502509e-02	1.879492e-01	2.005600e-05	3.056765e-03
8.798745e-02	1.939268e-01	2.607496e-05	2.861062e-03
9.089355e-02	1.987380e-01	3.833600e-05	3.849974e-03
9.384656e-02	2.040298e-01	2.203007e-05	2.952613e-03
9.688667e-02	2.067456e-01	3.089758e-05	2.982603e-03
9.984232e-02	2.165378e-01	2.359823e-05	2.662634e-03
1.027646e-01	2.182176e-01	2.250465e-05	2.217365e-03
1.057333e-01	2.192231e-01	3.052834e-05	1.881226e-03
1.087061e-01	2.255383e-01	2.213246e-05	2.045509e-03
1.116017e-01	2.292077e-01	2.454309e-05	2.077832e-03
1.145998e-01	2.344042e-01	2.436587e-05	2.198183e-03
1.175338e-01	2.405722e-01	1.517732e-05	2.697260e-03
1.205095e-01	2.432368e-01	1.922450e-05	2.024565e-03
1.234902e-01	2.468153e-01	1.180586e-05	2.049126e-03
1.264597e-01	2.500823e-01	2.821508e-05	2.511406e-03
1.294275e-01	2.514938e-01	3.362850e-05	2.240200e-03
1.323440e-01	2.580712e-01	2.069681e-05	2.126350e-03
1.353476e-01	2.630670e-01	8.537401e-06	2.080410e-03
1.382900e-01	2.672744e-01	1.487724e-05	1.914177e-03
1.412047e-01	2.702774e-01	2.507564e-05	1.937116e-03
1.441850e-01	2.743454e-01	2.128659e-05	2.389645e-03
1.471331e-01	2.791588e-01	1.760048e-05	2.342262e-03
1.500994e-01	2.816074e-01	1.674358e-05	1.744168e-03
1.530829e-01	2.888676e-01	9.305873e-06	2.170320e-03
1.560609e-01	2.926134e-01	2.005068e-05	1.618146e-03
1.590150e-01	2.957851e-01	1.133377e-05	2.389386e-03
1.619520e-01	2.977741e-01	1.176852e-05	2.452137e-03
1.649322e-01	3.034205e-01	1.535272e-05	2.430858e-03
1.678693e-01	3.053766e-01	2.055115e-05	2.515175e-03
1.708408e-01	3.087652e-01	1.478671e-05	1.843577e-03
1.738070e-01	3.140981e-01	1.586766e-05	1.082511e-03
1.767401e-01	3.180329e-01	8.099476e-06	1.684522e-03
1.797129e-01	3.216975e-01	1.328126e-05	1.822682e-03
1.826525e-01	3.253334e-01	1.948918e-05	1.814931e-03
1.856225e-01	3.288893e-01	1.241695e-05	2.027438e-03
1.885978e-01	3.335149e-01	2.027129e-05	1.771693e-03
1.915658e-01	3.379369e-01	1.275484e-05	1.954354e-03
1.944810e-01	3.397531e-01	1.863348e-05	1.472014e-03
1.974750e-01	3.426622e-01	1.502456e-05	1.714658e-03
2.004551e-01	3.476287e-01	7.136885e-06	1.364901e-03
2.033842e-01	3.524175e-01	1.324317e-05	1.538509e-03
2.063471e-01	3.537403e-01	1.125170e-05	1.496080e-03
2.093001e-01	3.580180e-01	8.559535e-06	1.729988e-03
2.122682e-01	3.601162e-01	7.278098e-06	1.166471e-03
2.152389e-01	3.634276e-01	1.471649e-05	1.348394e-03
2.181790e-01	3.669820e-01	1.732357e-05	1.222874e-03
2.211407e-01	3.696745e-01	1.454861e-05	1.747275e-03
2.240952e-01	3.722209e-01	1.409524e-05	1.167973e-03
2.270736e-01	3.753416e-01	9.144999e-06	1.316675e-03
2.300552e-01	3.789745e-01	1.438319e-05	1.390615e-03
2.329899e-01	3.841723e-01	9.042903e-06	1.314452e-03
2.359501e-01	3.850606e-01	1.702211e-05	9.679918e-04
