#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
5.752584e-02	1.199564e-02	3.286037e-04	8.414058e-04
6.610539e-02	1.158452e-02	3.447615e-04	1.530546e-03
7.130798e-02	9.479031e-03	4.591144e-04	8.900477e-04
7.523166e-02	8.930469e-03	4.079491e-04	8.310538e-04
8.039749e-02	1.031795e-02	2.949354e-04	8.586026e-04
8.466821e-02	9.177654e-03	2.546355e-04	4.878064e-04
8.918344e-02	9.623582e-03	1.953755e-04	6.179593e-04
9.383165e-02	1.130675e-02	3.245695e-04	1.315630e-03
9.876699e-02	9.888086e-03	2.681895e-04	8.482254e-04
1.034527e-01	1.096075e-02	2.957006e-04	1.294270e-03
1.083392e-01	9.940418e-03	3.177548e-04	1.601410e-03
1.125167e-01	8.735802e-03	1.892620e-04	8.082800e-04
1.172881e-01	9.165426e-03	2.275855e-04	7.176835e-04
1.215883e-01	9.442710e-03	1.669179e-04	6.093321e-04
1.266253e-01	9.819014e-03	2.230439e-04	4.736171e-04
1.311712e-01	8.640840e-03	2.026742e-04	4.920804e-04
1.355821e-01	9.704240e-03	1.854961e-04	6.796436e-04
1.403009e-01	8.848990e-03	1.694880e-04	5.148764e-04
1.451673e-01	8.882555e-03	1.505233e-04	6.507715e-04
1.496000e-01	1.067574e-02	1.135584e-04	1.120862e-03
1.541136e-01	1.007950e-02	1.486938e-04	6.132813e-04
1.588109e-01	1.064599e-02	8.506862e-05	8.288752e-04
1.635430e-01	1.179070e-02	1.564250e-04	1.092037e-03
1.684318e-01	1.176502e-02	1.363230e-04	8.772084e-04
1.730219e-01	1.149754e-02	1.478154e-04	1.150842e-03
1.776689e-01	1.301649e-02	1.174126e-04	1.155969e-03
1.820564e-01	1.219724e-02	1.453434e-04	6.278769e-04
1.866666e-01	1.471033e-02	1.200548e-04	1.223900e-03
1.912790e-01	1.412525e-02	1.209098e-04	1.091598e-03
1.961245e-01	1.460756e-02	9.986513e-05	9.389291e-04
2.006479e-01	1.726189e-02	1.438956e-04	1.043110e-03
2.052451e-01	1.730920e-02	1.155058e-04	8.703618e-04
2.099868e-01	2.019671e-02	8.463970e-05	1.573733e-03
2.145372e-01	1.946376e-02	7.806243e-05	9.184197e-04
2.191334e-01	2.047878e-02	6.402805e-05	1.006853e-03
2.235930e-01	2.149229e-02	7.362563e-05	8.824288e-04
2.283670e-01	2.620120e-02	6.735602e-05	1.313843e-03
2.331289e-01	2.670390e-02	7.635131e-05	1.779417e-03
2.377840e-01	2.868417e-02	6.619945e-05	1.110600e-03
2.423795e-01	3.222629e-02	1.367303e-04	1.373840e-03
2.471059e-01	3.493558e-02	5.294239e-05	1.339134e-03
2.515452e-01	3.801768e-02	7.429115e-05	1.796836e-03
2.563886e-01	4.113954e-02	7.487172e-05	1.393213e-03
2.608352e-01	4.584302e-02	3.952257e-05	2.037222e-03
2.655288e-01	5.312618e-02	5.512346e-05	1.986732e-03
2.702126e-01	5.900061e-02	7.233830e-05	2.019795e-03
2.747941e-01	6.246822e-02	6.956958e-05	1.760150e-03
2.793603e-01	7.006533e-02	5.782935e-05	2.458121e-03
2.840646e-01	7.845719e-02	5.647248e-05	2.081573e-03
2.886180e-01	8.607664e-02	2.983301e-05	1.724240e-03
2.933281e-01	9.382609e-02	2.874357e-05	2.820159e-03
2.979626e-01	1.047343e-01	4.934693e-05	2.331918e-03
3.025128e-01	1.130186e-01	1.841069e-05	2.907844e-03
3.072895e-01	1.226321e-01	4.350543e-05	3.093805e-03
3.118250e-01	1.358479e-01	4.227319e-05	4.354857e-03
3.165119e-01	1.473850e-01	4.299703e-05	3.341502e-03
3.211243e-01	1.585517e-01	2.283007e-05	4.131636e-03
3.257835e-01	1.688362e-01	2.823134e-05	4.078688e-03
3.304380e-01	1.801636e-01	2.750854e-05	3.747982e-03
3.350179e-01	1.939545e-01	2.785373e-05	3.313794e-03
3.396305e-01	2.078924e-01	3.293730e-05	4.242440e-03
3.442766e-01	2.207585e-01	2.531782e-05	3.505717e-03
3.489164e-01	2.327437e-01	3.757808e-05	2.075310e-03
3.535311e-01	2.449587e-01	1.812629e-05	3.101988e-03
3.581351e-01	2.566626e-01	1.805732e-05	2.610611e-03
3.627808e-01	2.697438e-01	1.281725e-05	2.453539e-03
3.674571e-01	2.788372e-01	2.577747e-05	2.638331e-03
3.720866e-01	2.906201e-01	1.812285e-05	2.980853e-03
3.767048e-01	3.012410e-01	1.763564e-05	3.079062e-03
3.813266e-01	3.096230e-01	2.091723e-05	2.077059e-03
3.859937e-01	3.232490e-01	2.229490e-05	2.547560e-03
3.906080e-01	3.348372e-01	1.562270e-05	2.158245e-03
3.951934e-01	3.427373e-01	1.905411e-05	1.752342e-03
3.998492e-01	3.510959e-01	1.924886e-05	2.195775e-03
4.044997e-01	3.598490e-01	1.635005e-05	1.974484e-03
4.090972e-01	3.697294e-01	9.028305e-06	1.548616e-03
4.137590e-01	3.781235e-01	1.289648e-05	1.250430e-03
4.183917e-01	3.866863e-01	9.384577e-06	1.074885e-03
4.230071e-01	3.934507e-01	1.910691e-05	1.516719e-03
4.276796e-01	4.023826e-01	1.833924e-05	1.148757e-03
4.322712e-01	4.090698e-01	1.212681e-05	1.171386e-03
4.369313e-01	4.158038e-01	1.790342e-05	1.375581e-03
4.415778e-01	4.237469e-01	1.491926e-05	1.600366e-03
4.461917e-01	4.298107e-01	1.668224e-05	9.745323e-04
4.508079e-01	4.358762e-01	1.814300e-05	1.352841e-03
4.554481e-01	4.427389e-01	1.488354e-05	1.219772e-03
4.600717e-01	4.474255e-01	1.045576e-05	1.024925e-03
4.647311e-01	4.534330e-01	9.567626e-06	7.384775e-04
4.693486e-01	4.572800e-01	1.058594e-05	8.318857e-04
4.739697e-01	4.627394e-01	4.834179e-06	7.434109e-04
4.786158e-01	4.701747e-01	1.168132e-05	9.811772e-04
4.832380e-01	4.731817e-01	1.248969e-05	9.507794e-04
4.878945e-01	4.794180e-01	1.212187e-05	6.987156e-04
4.925218e-01	4.831974e-01	1.162961e-05	4.810007e-04
4.971647e-01	4.874279e-01	6.595379e-06	5.346208e-04
5.017929e-01	4.921021e-01	1.089703e-05	7.231420e-04
5.064131e-01	4.956823e-01	8.884934e-06	6.737102e-04
5.110612e-01	5.006870e-01	1.150698e-05	5.673537e-04
5.156775e-01	5.042547e-01	1.342386e-05	4.841088e-04
5.203208e-01	5.075047e-01	1.230408e-05	5.948450e-04
5.249496e-01	5.117571e-01	1.091612e-05	5.941775e-04
5.295748e-01	5.147727e-01	2.070286e-05	3.359116e-04
5.341691e-01	5.178971e-01	1.835924e-05	5.567112e-04
5.387374e-01	5.218799e-01	3.199660e-05	4.723190e-04
5.432322e-01	5.256246e-01	4.089089e-05	4.444662e-04
5.476866e-01	5.283002e-01	3.738203e-05	5.369373e-04
5.522447e-01	5.310389e-01	4.432625e-05	1.085366e-03
5.566536e-01	5.325377e-01	1.025826e-04	1.593480e-03
5.608218e-01	5.309880e-01	1.894749e-04	3.784833e-03
