#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
5.328693e-03	5.058352e-02	1.752441e-04	8.666354e-03
8.098932e-03	4.779611e-02	1.460087e-04	5.297535e-03
1.120187e-02	5.073304e-02	8.718728e-05	2.843072e-03
1.389131e-02	5.557639e-02	9.741861e-05	2.551083e-03
1.699518e-02	5.975707e-02	8.032145e-05	1.902015e-03
1.990632e-02	6.298935e-02	5.675101e-05	1.999150e-03
2.276696e-02	7.090623e-02	5.333909e-05	2.480779e-03
2.570613e-02	7.908899e-02	3.423077e-05	2.601699e-03
2.864053e-02	8.229869e-02	5.262569e-05	1.874443e-03
3.152741e-02	9.108444e-02	3.633586e-05	3.294667e-03
3.451080e-02	9.858360e-02	3.557959e-05	2.351667e-03
3.742182e-02	1.018850e-01	3.195140e-05	3.538397e-03
4.033761e-02	1.123051e-01	3.170538e-05	2.239583e-03
4.328537e-02	1.202992e-01	3.715010e-05	2.959886e-03
4.624429e-02	1.297028e-01	3.310777e-05	2.928230e-03
4.913205e-02	1.343961e-01	2.767952e-05	3.351454e-03
5.213455e-02	1.390762e-01	2.738589e-05	1.903941e-03
5.502605e-02	1.431090e-01	2.273169e-05	2.811422e-03
5.794328e-02	1.520943e-01	3.164028e-05	2.233396e-03
6.083779e-02	1.551960e-01	1.733066e-05	2.169576e-03
6.374230e-02	1.609734e-01	2.510247e-05	1.754796e-03
6.668660e-02	1.676415e-01	2.768663e-05	2.934856e-03
6.965140e-02	1.695007e-01	1.949285e-05	2.970359e-03
7.256536e-02	1.767969e-01	2.269120e-05	1.905206e-03
7.545031e-02	1.839048e-01	2.836933e-05	1.995781e-03
7.845022e-02	1.863242e-01	2.778624e-05	1.923497e-03
8.134689e-02	1.911918e-01	1.570998e-05	1.665040e-03
8.429577e-02	1.991562e-01	2.343540e-05	1.938588e-03
8.718941e-02	2.006239e-01	2.700075e-05	1.454358e-03
9.015733e-02	2.061334e-01	3.138490e-05	1.705820e-03
9.309987e-02	2.092252e-01	1.918611e-05	2.378008e-03
9.599653e-02	2.163635e-01	2.531205e-05	1.780370e-03
9.891316e-02	2.198217e-01	2.170265e-05	1.960968e-03
1.018470e-01	2.222487e-01	2.267925e-05	1.801000e-03
1.047763e-01	2.293133e-01	1.996263e-05	2.593050e-03
1.076968e-01	2.316410e-01	1.822939e-05	1.335009e-03
1.106360e-01	2.356757e-01	2.216383e-05	1.904384e-03
1.135607e-01	2.387692e-01	2.262877e-05	3.299956e-03
1.165090e-01	2.428154e-01	1.914349e-05	1.834777e-03
1.194143e-01	2.456080e-01	1.487584e-05	2.184810e-03
1.223322e-01	2.516783e-01	1.921857e-05	1.506718e-03
1.252954e-01	2.560772e-01	1.927423e-05	1.584282e-03
1.281861e-01	2.616983e-01	1.959562e-05	2.104061e-03
1.311394e-01	2.655562e-01	2.151026e-05	1.567023e-03
1.340905e-01	2.692362e-01	1.920982e-05	1.609934e-03
1.369831e-01	2.730278e-01	1.252331e-05	1.811688e-03
1.399651e-01	2.781113e-01	8.709229e-06	1.705426e-03
1.428737e-01	2.797225e-01	1.582614e-05	2.208477e-03
1.457996e-01	2.869064e-01	1.507776e-05	2.048934e-03
1.487418e-01	2.881893e-01	1.585654e-05	1.446939e-03
1.516823e-01	2.940057e-01	1.218866e-05	2.229096e-03
1.545906e-01	2.967241e-01	1.515493e-05	1.521264e-03
1.575208e-01	3.018852e-01	1.456915e-05	1.574247e-03
1.604577e-01	3.057857e-01	1.769199e-05	1.414011e-03
1.634088e-01	3.091842e-01	1.482620e-05	1.934918e-03
1.663158e-01	3.130273e-01	1.140394e-05	2.211193e-03
1.692231e-01	3.158877e-01	1.480994e-05	1.480470e-03
1.721652e-01	3.191805e-01	1.452209e-05	7.599793e-04
1.750986e-01	3.258152e-01	1.251912e-05	1.709178e-03
1.780105e-01	3.290303e-01	1.156371e-05	9.986475e-04
1.809356e-01	3.313099e-01	1.788191e-05	1.362477e-03
1.838687e-01	3.353419e-01	1.224779e-05	1.423282e-03
1.868073e-01	3.378508e-01	1.442823e-05	1.398994e-03
1.897172e-01	3.414246e-01	1.440086e-05	1.221317e-03
1.926703e-01	3.450006e-01	1.449906e-05	1.150440e-03
1.955925e-01	3.486801e-01	1.602460e-05	1.390457e-03
1.985103e-01	3.514527e-01	8.913491e-06	1.536844e-03
2.014717e-01	3.542790e-01	1.055231e-05	9.888919e-04
2.044106e-01	3.572988e-01	1.295395e-05	1.535010e-03
2.073122e-01	3.612522e-01	1.131677e-05	1.194817e-03
2.102512e-01	3.635929e-01	9.921090e-06	1.366506e-03
2.131909e-01	3.679300e-01	9.209621e-06	1.231834e-03
2.161053e-01	3.709478e-01	1.173849e-05	1.415279e-03
2.190415e-01	3.724503e-01	1.093382e-05	1.223678e-03
2.219833e-01	3.750840e-01	1.085159e-05	1.246596e-03
2.249148e-01	3.802286e-01	1.027598e-05	1.447248e-03
2.278436e-01	3.816532e-01	1.250064e-05	1.317942e-03
2.307549e-01	3.843113e-01	1.035988e-05	1.200440e-03
2.336990e-01	3.880449e-01	1.291131e-05	1.348136e-03
2.366228e-01	3.907017e-01	1.666471e-05	1.004416e-03
2.395573e-01	3.930858e-01	5.165564e-06	9.392004e-04
2.424621e-01	3.980213e-01	1.021000e-05	1.095643e-03
2.454074e-01	3.989185e-01	6.494324e-06	6.293569e-04
2.483317e-01	4.017373e-01	9.531283e-06	1.132834e-03
2.512653e-01	4.048780e-01	1.225948e-05	1.154767e-03
2.541919e-01	4.069114e-01	1.049957e-05	9.485149e-04
2.571412e-01	4.107478e-01	1.135585e-05	6.180254e-04
2.600543e-01	4.129024e-01	1.147532e-05	1.032906e-03
2.629836e-01	4.150684e-01	8.987433e-06	6.170191e-04
2.659336e-01	4.173001e-01	1.064864e-05	5.186001e-04
2.688474e-01	4.205337e-01	1.217596e-05	7.113157e-04
2.717652e-01	4.222500e-01	8.917442e-06	7.458408e-04
2.747067e-01	4.254710e-01	8.130984e-06	6.402490e-04
2.776472e-01	4.284324e-01	7.593611e-06	7.826190e-04
2.805647e-01	4.299536e-01	1.279513e-05	6.170408e-04
2.834975e-01	4.325150e-01	9.633700e-06	4.949794e-04
2.864263e-01	4.349511e-01	7.203358e-06	7.009774e-04
2.893603e-01	4.371989e-01	1.060583e-05	5.502408e-04
2.922749e-01	4.397367e-01	1.411306e-05	6.467926e-04
2.952082e-01	4.424333e-01	8.463797e-06	6.175711e-04
2.981337e-01	4.433045e-01	1.332144e-05	6.787895e-04
3.010714e-01	4.453053e-01	1.352026e-05	3.218787e-04
3.039998e-01	4.477845e-01	8.730275e-06	7.711657e-04
3.069292e-01	4.499351e-01	1.041917e-05	3.925256e-04
3.098557e-01	4.524835e-01	1.146968e-05	4.834605e-04
3.127746e-01	4.539267e-01	8.757203e-06	6.969751e-04
3.157048e-01	4.560923e-01	6.338438e-06	6.675085e-04
3.186326e-01	4.580621e-01	9.113914e-06	4.136327e-04
3.215377e-01	4.590155e-01	1.370599e-05	4.770586e-04
3.244587e-01	4.623263e-01	9.014859e-06	3.871141e-04
3.273212e-01	4.627725e-01	2.148559e-05	5.403029e-04
3.302172e-01	4.636701e-01	1.693440e-05	8.431146e-04
3.331513e-01	4.640239e-01	3.142782e-05	6.323220e-04
3.360031e-01	4.655874e-01	2.835495e-05	1.266911e-03
3.389625e-01	4.673059e-01	3.003737e-05	1.355774e-03
3.418953e-01	4.673163e-01	6.215922e-05	1.431286e-03
3.446927e-01	4.681898e-01	7.140797e-05	1.583071e-03
3.474971e-01	4.687391e-01	1.211061e-04	3.512830e-03
