#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
1.355338e-02	1.680658e-02	2.491134e-04	2.183258e-03
1.731168e-02	1.748289e-02	1.893336e-04	1.760003e-03
1.963282e-02	2.276027e-02	2.432343e-04	4.003537e-03
2.230174e-02	2.175811e-02	1.173594e-04	1.747359e-03
2.574294e-02	1.993934e-02	1.351170e-04	1.235731e-03
2.870755e-02	2.121027e-02	1.786909e-04	1.131545e-03
3.182404e-02	2.256617e-02	1.082367e-04	1.068466e-03
3.485665e-02	2.341712e-02	1.232586e-04	1.474903e-03
3.770947e-02	2.358766e-02	8.654951e-05	1.495772e-03
4.116156e-02	2.338688e-02	7.724524e-05	9.759108e-04
4.396863e-02	2.461448e-02	7.516759e-05	1.817580e-03
4.703418e-02	2.450521e-02	1.028788e-04	1.776623e-03
5.016622e-02	2.625296e-02	7.349760e-05	9.812517e-04
5.327859e-02	2.983437e-02	1.048184e-04	9.951355e-04
5.617714e-02	3.040943e-02	8.582491e-05	1.195713e-03
5.926510e-02	3.216546e-02	7.242072e-05	1.295742e-03
6.218397e-02	3.572298e-02	5.841175e-05	1.985976e-03
6.530206e-02	3.537208e-02	4.730001e-05	1.472810e-03
6.830947e-02	3.860057e-02	6.393672e-05	7.997214e-04
7.145062e-02	3.927034e-02	5.522114e-05	1.617573e-03
7.449624e-02	4.104582e-02	4.352913e-05	8.606351e-04
7.759010e-02	4.585260e-02	5.705449e-05	9.658980e-04
8.055992e-02	4.606754e-02	5.559518e-05	1.937276e-03
8.363031e-02	4.948279e-02	4.251789e-05	2.004070e-03
8.660892e-02	5.086664e-02	3.566701e-05	9.504263e-04
8.980909e-02	5.417371e-02	3.937893e-05	1.891440e-03
9.281335e-02	6.050911e-02	5.831092e-05	1.830030e-03
9.583420e-02	6.202952e-02	4.388895e-05	2.346580e-03
9.886557e-02	6.640071e-02	3.349978e-05	3.108194e-03
1.019482e-01	6.931848e-02	4.711087e-05	2.735165e-03
1.049839e-01	7.469813e-02	3.440099e-05	2.102511e-03
1.080326e-01	8.133130e-02	2.927306e-05	2.029238e-03
1.110607e-01	8.510932e-02	3.782998e-05	1.951794e-03
1.141330e-01	8.742292e-02	1.751189e-05	2.327926e-03
1.171510e-01	9.098213e-02	2.771976e-05	2.596113e-03
1.201696e-01	9.542375e-02	2.527072e-05	2.151835e-03
1.232804e-01	1.041840e-01	3.096483e-05	2.994802e-03
1.263815e-01	1.060272e-01	3.034817e-05	2.101641e-03
1.293501e-01	1.121047e-01	2.570083e-05	1.276911e-03
1.324062e-01	1.184982e-01	1.755896e-05	2.377589e-03
1.354724e-01	1.262925e-01	3.567100e-05	1.988620e-03
1.385171e-01	1.335103e-01	1.758924e-05	2.291252e-03
1.415313e-01	1.385769e-01	2.248903e-05	1.531664e-03
1.445909e-01	1.462004e-01	2.708777e-05	2.708950e-03
1.476704e-01	1.549564e-01	1.938144e-05	1.885934e-03
1.507049e-01	1.643109e-01	1.948231e-05	1.968487e-03
1.537507e-01	1.682998e-01	2.383113e-05	2.220114e-03
1.567712e-01	1.775273e-01	2.147443e-05	2.432344e-03
1.598532e-01	1.838126e-01	2.329496e-05	2.406765e-03
1.629318e-01	1.907479e-01	1.476651e-05	2.098671e-03
1.659996e-01	2.008642e-01	1.955515e-05	1.754313e-03
1.690518e-01	2.061997e-01	2.035378e-05	1.438462e-03
1.720769e-01	2.124165e-01	1.499555e-05	2.988132e-03
1.751321e-01	2.229518e-01	1.093238e-05	1.780064e-03
1.781797e-01	2.293084e-01	1.362951e-05	2.621056e-03
1.812076e-01	2.350711e-01	1.695557e-05	3.067343e-03
1.842779e-01	2.441433e-01	2.130476e-05	2.048587e-03
1.873719e-01	2.521466e-01	1.194265e-05	3.166766e-03
1.904028e-01	2.583286e-01	1.613750e-05	2.720335e-03
1.934623e-01	2.657667e-01	1.352209e-05	2.279562e-03
1.964921e-01	2.727946e-01	1.190384e-05	1.611946e-03
1.995223e-01	2.814157e-01	1.406216e-05	2.155059e-03
2.025635e-01	2.909574e-01	8.239710e-06	2.039539e-03
2.056418e-01	2.971142e-01	1.190844e-05	2.355778e-03
2.086869e-01	3.022629e-01	1.262477e-05	1.675609e-03
2.117284e-01	3.091046e-01	1.231658e-05	1.434234e-03
2.147909e-01	3.169407e-01	1.265956e-05	1.758462e-03
2.178584e-01	3.244744e-01	1.337306e-05	1.283699e-03
2.208913e-01	3.314353e-01	1.333097e-05	1.826686e-03
2.239252e-01	3.382486e-01	1.476783e-05	1.616223e-03
2.269709e-01	3.463366e-01	1.329438e-05	1.742896e-03
2.300247e-01	3.517281e-01	1.545389e-05	2.047966e-03
2.331012e-01	3.572024e-01	1.945653e-05	1.997277e-03
2.361616e-01	3.628587e-01	1.149658e-05	1.600158e-03
2.391928e-01	3.709782e-01	9.895701e-06	1.803930e-03
2.422239e-01	3.745014e-01	1.508960e-05	1.595005e-03
2.452922e-01	3.805918e-01	9.660867e-06	1.575691e-03
2.483373e-01	3.868248e-01	1.646768e-05	1.749562e-03
2.514051e-01	3.916646e-01	9.354914e-06	1.472143e-03
2.544351e-01	3.977569e-01	1.040899e-05	1.484269e-03
2.575014e-01	4.040216e-01	1.023199e-05	1.315811e-03
2.605431e-01	4.069552e-01	1.059217e-05	1.542506e-03
2.635943e-01	4.133046e-01	1.349999e-05	1.071602e-03
2.666125e-01	4.173998e-01	1.146526e-05	1.364718e-03
2.696682e-01	4.221233e-01	9.570557e-06	1.433295e-03
2.727392e-01	4.264979e-01	7.858995e-06	1.293788e-03
2.757932e-01	4.322421e-01	5.516941e-06	1.131520e-03
2.788291e-01	4.352097e-01	7.267264e-06	1.038618e-03
2.818890e-01	4.403354e-01	7.870643e-06	1.071881e-03
2.849439e-01	4.447473e-01	1.075518e-05	9.599788e-04
2.879975e-01	4.490176e-01	8.602865e-06	1.168913e-03
2.910418e-01	4.521031e-01	7.181023e-06	1.085304e-03
2.941019e-01	4.571882e-01	8.299472e-06	6.891083e-04
2.971532e-01	4.616568e-01	6.835986e-06	9.600723e-04
3.001929e-01	4.643498e-01	8.795783e-06	5.952343e-04
3.032428e-01	4.682122e-01	8.954582e-06	6.072040e-04
3.062880e-01	4.713772e-01	6.559635e-06	6.193459e-04
3.093508e-01	4.757093e-01	1.165801e-05	4.976473e-04
3.123889e-01	4.792716e-01	7.806225e-06	6.263422e-04
3.154474e-01	4.825616e-01	9.043112e-06	7.994821e-04
3.184914e-01	4.852072e-01	9.317181e-06	6.645589e-04
3.215441e-01	4.884436e-01	1.084927e-05	4.196064e-04
3.245896e-01	4.916130e-01	9.321146e-06	6.459722e-04
3.276286e-01	4.944108e-01	1.100459e-05	7.935459e-04
3.306878e-01	4.976509e-01	9.523119e-06	2.932671e-04
3.337227e-01	4.993017e-01	1.205146e-05	5.887779e-04
3.367341e-01	5.026383e-01	2.120545e-05	5.505984e-04
3.397303e-01	5.049336e-01	2.097525e-05	6.215711e-04
3.427168e-01	5.063071e-01	3.053957e-05	6.553542e-04
3.457186e-01	5.078182e-01	3.815480e-05	9.041741e-04
3.487451e-01	5.094096e-01	5.420818e-05	1.022068e-03
3.517132e-01	5.097120e-01	6.738547e-05	2.011516e-03
3.547142e-01	5.117200e-01	7.520631e-05	2.355034e-03
3.574688e-01	5.165918e-01	1.407390e-04	3.465426e-03
