#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
2.333140e-02	1.667872e-02	2.179049e-04	2.546075e-03
2.715763e-02	1.737572e-02	1.578187e-04	1.908926e-03
2.978879e-02	1.451829e-02	1.624583e-04	1.957816e-03
3.315055e-02	1.697196e-02	1.592927e-04	1.474309e-03
3.642364e-02	1.629465e-02	8.796609e-05	1.076144e-03
3.931208e-02	1.693801e-02	1.019109e-04	1.156150e-03
4.256379e-02	1.756298e-02	1.558402e-04	1.087596e-03
4.567519e-02	1.813727e-02	9.906863e-05	2.269062e-03
4.895409e-02	1.865094e-02	7.179311e-05	8.299301e-04
5.209113e-02	1.729021e-02	1.148695e-04	1.290947e-03
5.563086e-02	1.828685e-02	8.894657e-05	8.655285e-04
5.853858e-02	1.861107e-02	1.262047e-04	9.930179e-04
6.185198e-02	1.942056e-02	6.306500e-05	1.011362e-03
6.511798e-02	2.022438e-02	5.115124e-05	7.464978e-04
6.829948e-02	2.094018e-02	8.653535e-05	1.217081e-03
7.154060e-02	2.290388e-02	6.198190e-05	1.252241e-03
7.465456e-02	2.333390e-02	5.036975e-05	1.452333e-03
7.800072e-02	2.569315e-02	5.892350e-05	8.130690e-04
8.114441e-02	2.565007e-02	4.670416e-05	1.118790e-03
8.440583e-02	2.634717e-02	6.341467e-05	1.487510e-03
8.747421e-02	2.709955e-02	8.967348e-05	1.177442e-03
9.069097e-02	2.934256e-02	6.353436e-05	1.077498e-03
9.395633e-02	2.979890e-02	4.055670e-05	7.145626e-04
9.714627e-02	3.160724e-02	4.880238e-05	1.209852e-03
1.004206e-01	3.252517e-02	3.904381e-05	1.332628e-03
1.035786e-01	3.360325e-02	5.430829e-05	9.916972e-04
1.068400e-01	3.483586e-02	4.320490e-05	1.731721e-03
1.101478e-01	3.812399e-02	3.817473e-05	1.420741e-03
1.132846e-01	3.715138e-02	6.319688e-05	1.699387e-03
1.164526e-01	4.162997e-02	3.005466e-05	1.590158e-03
1.196823e-01	4.639837e-02	3.558297e-05	1.193469e-03
1.229027e-01	4.732221e-02	4.052145e-05	1.369762e-03
1.261031e-01	4.922571e-02	5.647840e-05	1.585930e-03
1.293073e-01	5.223760e-02	3.976049e-05	1.371198e-03
1.325041e-01	5.647460e-02	4.617113e-05	1.173338e-03
1.357329e-01	5.782454e-02	3.224520e-05	1.353355e-03
1.389313e-01	6.243652e-02	5.453782e-05	1.815063e-03
1.421308e-01	6.721319e-02	6.580161e-05	2.522574e-03
1.454210e-01	7.173089e-02	2.717691e-05	2.005015e-03
1.485515e-01	7.875426e-02	2.585887e-05	2.759852e-03
1.518379e-01	8.357653e-02	2.221013e-05	2.041259e-03
1.550120e-01	9.243505e-02	3.723267e-05	2.093580e-03
1.581954e-01	9.206442e-02	5.562311e-05	2.102067e-03
1.614552e-01	1.027618e-01	4.564869e-05	2.258048e-03
1.647354e-01	1.088292e-01	3.113050e-05	2.502761e-03
1.678868e-01	1.130203e-01	5.234147e-05	2.294653e-03
1.711147e-01	1.248497e-01	2.571126e-05	2.749655e-03
1.742844e-01	1.288854e-01	1.896305e-05	1.948483e-03
1.775328e-01	1.370879e-01	2.806167e-05	2.200041e-03
1.807531e-01	1.449499e-01	2.622742e-05	1.868106e-03
1.839613e-01	1.505157e-01	2.372753e-05	2.877993e-03
1.871545e-01	1.611700e-01	1.729642e-05	1.799982e-03
1.903520e-01	1.706358e-01	1.802704e-05	2.357569e-03
1.935963e-01	1.789417e-01	1.918308e-05	2.068157e-03
1.968165e-01	1.852891e-01	2.337524e-05	2.587272e-03
1.999992e-01	1.949296e-01	1.369285e-05	2.123683e-03
2.032264e-01	2.013525e-01	1.634086e-05	2.099335e-03
2.064643e-01	2.136803e-01	1.569123e-05	1.938104e-03
2.096801e-01	2.217357e-01	1.016085e-05	2.588914e-03
2.128916e-01	2.317119e-01	1.687149e-05	1.688335e-03
2.160919e-01	2.373720e-01	2.046283e-05	1.708104e-03
2.192939e-01	2.500762e-01	2.842300e-05	1.895292e-03
2.225260e-01	2.556486e-01	1.760499e-05	1.241259e-03
2.257045e-01	2.660995e-01	1.771833e-05	1.851459e-03
2.289387e-01	2.711412e-01	1.602256e-05	2.329599e-03
2.321512e-01	2.821362e-01	1.243227e-05	1.657401e-03
2.353650e-01	2.906873e-01	1.093221e-05	1.295619e-03
2.386023e-01	2.978535e-01	1.770501e-05	1.956588e-03
2.418185e-01	3.057862e-01	7.487834e-06	1.726046e-03
2.450228e-01	3.165736e-01	1.739155e-05	1.613183e-03
2.482139e-01	3.241356e-01	1.702809e-05	1.307168e-03
2.514333e-01	3.308663e-01	2.056040e-05	1.626079e-03
2.546564e-01	3.396522e-01	1.635748e-05	1.909020e-03
2.578606e-01	3.440870e-01	1.041357e-05	2.003312e-03
2.610706e-01	3.528761e-01	1.293479e-05	1.775004e-03
2.643028e-01	3.619440e-01	1.018763e-05	1.239395e-03
2.675032e-01	3.674053e-01	1.032496e-05	1.136804e-03
2.707122e-01	3.738974e-01	1.204522e-05	1.636128e-03
2.739439e-01	3.818090e-01	1.457065e-05	1.523575e-03
2.771646e-01	3.877389e-01	8.498562e-06	9.348580e-04
2.803632e-01	3.929801e-01	1.817183e-05	1.634430e-03
2.835777e-01	3.999057e-01	1.191740e-05	1.039286e-03
2.867834e-01	4.053262e-01	1.063787e-05	1.496526e-03
2.899971e-01	4.124775e-01	4.508446e-06	1.318188e-03
2.932112e-01	4.175046e-01	9.619306e-06	1.372681e-03
2.964220e-01	4.230253e-01	1.160631e-05	1.733578e-03
2.996242e-01	4.288296e-01	1.115948e-05	1.051176e-03
3.028179e-01	4.343011e-01	8.935550e-06	1.475284e-03
3.060389e-01	4.390411e-01	7.929147e-06	1.152335e-03
3.092714e-01	4.434736e-01	9.382068e-06	6.237898e-04
3.124934e-01	4.501317e-01	6.576416e-06	8.233788e-04
3.156996e-01	4.524869e-01	1.113728e-05	1.136581e-03
3.189227e-01	4.577512e-01	1.114377e-05	9.732363e-04
3.221275e-01	4.632836e-01	8.957075e-06	1.108731e-03
3.253397e-01	4.676627e-01	6.890920e-06	8.597834e-04
3.285576e-01	4.720366e-01	8.919637e-06	6.976367e-04
3.317760e-01	4.757549e-01	6.604073e-06	6.296926e-04
3.349875e-01	4.798023e-01	1.003594e-05	9.198239e-04
3.381977e-01	4.839517e-01	8.423402e-06	9.717616e-04
3.414337e-01	4.874079e-01	6.909104e-06	8.053919e-04
3.446350e-01	4.910640e-01	7.460754e-06	4.911061e-04
3.478403e-01	4.949817e-01	1.391398e-05	7.226930e-04
3.510478e-01	4.980669e-01	9.890813e-06	7.976947e-04
3.542629e-01	5.007047e-01	1.191786e-05	5.913611e-04
3.574692e-01	5.042007e-01	1.042712e-05	7.448764e-04
3.606758e-01	5.074573e-01	7.104405e-06	8.345213e-04
3.638761e-01	5.106303e-01	1.040510e-05	8.056742e-04
3.670356e-01	5.135500e-01	2.253887e-05	4.852797e-04
3.701870e-01	5.150441e-01	1.794869e-05	6.933654e-04
3.733982e-01	5.174522e-01	3.068153e-05	1.246728e-03
3.765301e-01	5.183632e-01	3.369934e-05	8.133392e-04
3.797176e-01	5.189787e-01	5.990206e-05	1.279685e-03
3.828257e-01	5.216507e-01	5.115335e-05	1.839909e-03
3.858865e-01	5.224065e-01	1.211608e-04	2.478096e-03
