#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
5.836560e-02	7.948146e-03	2.980333e-04	1.011846e-03
6.624024e-02	7.935679e-03	3.223508e-04	9.030567e-04
7.083399e-02	7.829624e-03	3.521947e-04	1.082072e-03
7.440504e-02	8.218933e-03	2.653433e-04	9.163278e-04
7.875804e-02	8.733937e-03	3.052741e-04	1.210105e-03
8.242922e-02	8.034944e-03	2.833928e-04	6.104682e-04
8.634175e-02	8.006492e-03	2.635247e-04	5.563350e-04
9.040098e-02	8.103609e-03	3.007125e-04	7.383615e-04
9.481981e-02	7.455782e-03	1.983964e-04	6.096247e-04
9.834527e-02	7.781955e-03	2.997239e-04	4.104596e-04
1.025289e-01	7.785805e-03	1.379605e-04	6.500306e-04
1.061931e-01	8.345375e-03	2.381958e-04	4.917769e-04
1.103902e-01	7.319040e-03	1.062691e-04	8.291072e-04
1.147658e-01	8.258550e-03	9.032467e-05	6.265101e-04
1.185417e-01	8.027600e-03	1.976099e-04	7.911853e-04
1.225135e-01	7.829518e-03	1.198691e-04	5.019677e-04
1.265273e-01	8.127623e-03	1.456579e-04	8.425410e-04
1.304839e-01	8.590503e-03	1.599844e-04	7.813381e-04
1.341294e-01	8.601748e-03	1.296123e-04	5.154799e-04
1.385858e-01	9.310866e-03	1.597762e-04	8.413611e-04
1.424275e-01	8.722725e-03	1.467153e-04	5.314979e-04
1.467219e-01	9.627258e-03	1.339050e-04	7.567201e-04
1.502546e-01	9.701218e-03	1.532112e-04	8.163614e-04
1.545395e-01	9.853341e-03	1.216230e-04	6.741411e-04
1.581645e-01	9.854536e-03	1.552535e-04	6.316583e-04
1.623802e-01	9.531407e-03	6.758232e-05	6.980874e-04
1.661086e-01	1.020828e-02	1.738324e-04	6.544526e-04
1.703749e-01	1.114707e-02	1.070981e-04	8.460131e-04
1.741897e-01	1.124471e-02	1.150489e-04	4.398065e-04
1.781963e-01	1.229109e-02	8.284843e-05	8.700181e-04
1.824459e-01	1.316732e-02	7.746271e-05	1.084348e-03
1.863614e-01	1.486822e-02	7.911384e-05	8.877078e-04
1.900932e-01	1.507820e-02	6.999668e-05	8.973066e-04
1.942188e-01	1.576458e-02	8.814053e-05	1.018615e-03
1.981688e-01	1.751599e-02	9.197982e-05	9.635302e-04
2.024325e-01	1.696135e-02	5.834533e-05	9.225136e-04
2.062328e-01	1.917570e-02	8.972371e-05	5.830051e-04
2.102039e-01	2.144411e-02	7.283129e-05	6.315047e-04
2.143797e-01	2.199166e-02	4.999258e-05	1.220530e-03
2.183372e-01	2.492891e-02	6.728131e-05	6.761643e-04
2.221833e-01	2.623480e-02	7.208764e-05	9.661515e-04
2.262425e-01	2.859584e-02	8.382288e-05	1.495274e-03
2.302293e-01	2.953539e-02	9.456328e-05	1.224270e-03
2.342448e-01	3.247196e-02	3.678712e-05	8.815658e-04
2.381469e-01	3.879078e-02	5.553030e-05	1.825873e-03
2.421938e-01	4.114182e-02	4.815877e-05	1.614371e-03
2.460668e-01	4.494651e-02	5.495465e-05	1.112358e-03
2.501416e-01	5.089128e-02	7.697780e-05	1.802234e-03
2.541010e-01	5.515421e-02	5.128257e-05	1.194315e-03
2.581200e-01	6.434047e-02	2.888597e-05	1.572219e-03
2.621334e-01	7.162267e-02	5.453494e-05	1.688663e-03
2.661118e-01	7.574829e-02	3.854175e-05	8.945838e-04
2.700805e-01	8.452481e-02	4.141411e-05	1.724044e-03
2.740575e-01	9.378037e-02	4.751994e-05	1.074842e-03
2.780772e-01	1.028502e-01	3.772074e-05	1.727855e-03
2.820652e-01	1.131421e-01	2.921570e-05	2.471102e-03
2.860899e-01	1.250762e-01	2.815760e-05	1.966508e-03
2.900494e-01	1.369115e-01	3.476077e-05	2.621961e-03
2.940843e-01	1.486528e-01	3.169663e-05	3.139201e-03
2.980197e-01	1.637147e-01	1.290783e-05	3.033841e-03
3.020484e-01	1.756940e-01	2.113180e-05	3.285192e-03
3.060338e-01	1.902703e-01	2.717240e-05	2.637595e-03
