#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
3.388799e-02	1.541662e-02	2.191878e-04	1.926526e-03
3.715867e-02	1.597525e-02	3.123107e-04	1.246891e-03
4.134809e-02	1.792460e-02	1.897625e-04	1.379504e-03
4.562151e-02	1.691634e-02	2.043700e-04	9.513598e-04
4.964178e-02	1.689255e-02	1.286483e-04	1.336972e-03
5.346811e-02	1.613240e-02	1.528580e-04	6.381544e-04
5.756206e-02	1.819875e-02	1.350474e-04	1.305787e-03
6.141123e-02	1.778047e-02	1.315668e-04	9.133108e-04
6.550698e-02	1.825139e-02	8.491469e-05	1.539834e-03
6.930771e-02	1.831390e-02	9.200142e-05	1.155601e-03
7.324305e-02	1.914085e-02	9.898315e-05	7.007418e-04
7.732350e-02	1.864777e-02	1.028351e-04	1.173358e-03
8.114738e-02	1.865868e-02	9.261160e-05	7.788431e-04
8.548993e-02	1.746540e-02	1.566030e-04	7.443885e-04
8.931027e-02	2.021975e-02	1.133023e-04	1.239045e-03
9.330120e-02	2.014724e-02	6.159005e-05	1.328475e-03
9.730975e-02	2.264951e-02	8.969850e-05	6.614328e-04
1.011362e-01	2.001139e-02	7.452994e-05	4.427210e-04
1.052487e-01	2.126753e-02	6.392326e-05	7.619408e-04
1.092493e-01	2.355909e-02	9.427616e-05	8.473886e-04
1.131409e-01	2.141180e-02	7.877325e-05	8.022405e-04
1.172189e-01	2.471736e-02	1.215533e-04	7.247897e-04
1.213203e-01	2.446901e-02	6.485058e-05	7.712738e-04
1.252530e-01	2.490649e-02	7.543032e-05	7.454168e-04
1.292977e-01	2.808404e-02	7.435726e-05	9.214825e-04
1.332735e-01	2.809002e-02	8.810679e-05	1.171151e-03
1.372831e-01	3.142131e-02	6.531841e-05	1.095981e-03
1.411838e-01	3.398444e-02	7.100417e-05	1.498894e-03
1.452629e-01	3.426247e-02	4.894121e-05	7.080363e-04
1.492221e-01	3.763359e-02	4.493626e-05	8.783781e-04
1.531592e-01	3.802509e-02	6.139812e-05	1.308384e-03
1.570436e-01	4.050504e-02	5.240643e-05	1.074497e-03
1.611581e-01	4.437743e-02	5.516128e-05	1.263459e-03
1.651232e-01	4.733403e-02	4.447565e-05	1.827271e-03
1.691709e-01	4.957159e-02	5.477123e-05	1.303403e-03
1.731957e-01	5.385710e-02	5.056160e-05	1.985012e-03
1.771605e-01	5.615477e-02	5.738349e-05	1.732572e-03
1.811192e-01	6.199605e-02	3.829353e-05	2.339259e-03
1.851657e-01	6.497071e-02	4.142487e-05	2.275685e-03
1.891098e-01	7.051275e-02	4.816439e-05	2.542224e-03
1.931000e-01	7.842725e-02	2.205710e-05	1.860534e-03
1.971852e-01	8.070020e-02	4.117253e-05	2.165723e-03
2.011371e-01	9.091698e-02	3.112787e-05	1.896556e-03
2.050535e-01	9.329016e-02	5.075005e-05	2.115523e-03
2.090830e-01	9.962017e-02	5.681177e-05	2.145707e-03
2.131354e-01	1.070973e-01	3.243475e-05	1.800260e-03
2.170984e-01	1.129652e-01	3.323934e-05	1.736849e-03
2.210717e-01	1.189295e-01	3.157305e-05	1.395801e-03
2.251016e-01	1.275017e-01	3.393958e-05	2.116130e-03
2.290423e-01	1.328382e-01	2.825276e-05	1.872417e-03
2.330192e-01	1.404260e-01	3.730344e-05	1.968561e-03
2.370298e-01	1.511700e-01	2.628371e-05	2.915713e-03
2.410465e-01	1.588401e-01	2.680216e-05	2.271462e-03
2.450590e-01	1.656942e-01	2.524413e-05	2.279388e-03
2.490611e-01	1.763879e-01	2.829449e-05	2.973370e-03
2.530104e-01	1.814353e-01	2.717258e-05	2.106237e-03
2.570014e-01	1.927992e-01	3.387222e-05	2.343942e-03
2.610214e-01	2.006106e-01	1.779866e-05	2.447496e-03
2.649618e-01	2.082176e-01	2.027248e-05	1.557654e-03
2.689569e-01	2.164989e-01	2.508900e-05	1.773770e-03
2.729969e-01	2.277592e-01	2.230143e-05	1.366998e-03
2.769666e-01	2.355493e-01	1.995449e-05	1.821490e-03
2.809868e-01	2.459019e-01	2.158177e-05	1.059111e-03
