#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
8.752570e-03	1.938343e-02	1.635096e-04	2.015614e-03
1.126754e-02	2.001818e-02	1.817013e-04	1.637243e-03
1.347693e-02	1.956075e-02	2.030816e-04	1.744464e-03
1.625419e-02	2.246667e-02	1.098156e-04	1.715234e-03
1.880546e-02	2.400956e-02	1.342493e-04	2.210938e-03
2.129549e-02	1.957162e-02	6.466595e-05	9.671160e-04
2.370859e-02	2.179600e-02	8.046601e-05	1.681456e-03
2.627863e-02	2.580715e-02	5.467818e-05	2.015331e-03
2.882208e-02	2.652044e-02	7.790350e-05	1.702011e-03
3.139674e-02	2.700501e-02	6.460261e-05	1.730267e-03
3.393201e-02	2.843914e-02	5.598503e-05	1.508704e-03
3.647953e-02	3.004243e-02	5.438545e-05	8.801753e-04
3.904205e-02	3.295538e-02	5.810787e-05	1.302679e-03
4.141799e-02	3.443202e-02	4.448123e-05	1.174335e-03
4.415218e-02	3.854271e-02	4.055464e-05	2.257904e-03
4.665459e-02	3.988252e-02	5.148671e-05	1.275877e-03
4.908488e-02	4.424063e-02	5.340877e-05	2.189849e-03
5.167817e-02	4.500281e-02	5.091942e-05	1.515397e-03
5.422784e-02	4.880993e-02	3.686662e-05	2.122074e-03
5.674173e-02	5.168702e-02	4.428821e-05	2.060389e-03
5.933674e-02	5.436670e-02	3.554313e-05	2.190636e-03
6.183827e-02	5.758106e-02	3.861344e-05	2.062159e-03
6.433134e-02	6.203897e-02	3.480192e-05	2.471275e-03
6.685534e-02	6.571817e-02	4.128089e-05	2.038636e-03
6.939732e-02	7.051557e-02	4.075930e-05	2.901787e-03
7.199403e-02	7.392849e-02	4.524763e-05	3.091509e-03
7.448926e-02	7.834414e-02	3.210499e-05	2.368195e-03
7.700892e-02	8.351245e-02	3.166992e-05	2.608093e-03
7.957637e-02	8.571477e-02	4.254423e-05	2.570127e-03
8.206168e-02	9.279214e-02	3.107050e-05	2.731937e-03
8.464099e-02	9.667501e-02	3.372926e-05	2.413433e-03
8.717968e-02	1.023175e-01	2.695524e-05	2.925113e-03
8.971094e-02	1.073172e-01	2.862376e-05	2.390558e-03
9.226731e-02	1.139735e-01	3.055569e-05	2.091406e-03
9.477878e-02	1.204023e-01	2.770754e-05	2.768612e-03
9.727140e-02	1.216473e-01	2.928258e-05	2.539024e-03
9.984808e-02	1.246300e-01	2.350014e-05	2.241608e-03
1.024055e-01	1.305954e-01	2.338384e-05	2.421661e-03
1.049023e-01	1.385861e-01	2.186834e-05	2.296801e-03
1.074608e-01	1.442235e-01	1.579081e-05	2.460575e-03
1.100093e-01	1.480251e-01	1.726988e-05	2.661812e-03
1.125298e-01	1.550869e-01	2.140729e-05	2.601982e-03
1.150217e-01	1.612695e-01	2.189105e-05	2.903807e-03
1.175888e-01	1.663837e-01	2.602664e-05	3.101134e-03
1.201354e-01	1.739144e-01	1.133070e-05	3.330476e-03
1.226777e-01	1.792641e-01	1.651268e-05	2.637040e-03
1.252043e-01	1.863949e-01	2.117136e-05	3.698612e-03
1.277563e-01	1.948844e-01	1.842712e-05	3.068976e-03
1.302828e-01	2.021812e-01	2.005694e-05	3.038720e-03
1.328402e-01	2.093976e-01	2.036766e-05	2.477491e-03
1.353539e-01	2.157680e-01	1.574470e-05	2.165592e-03
1.379045e-01	2.230440e-01	1.394765e-05	2.187996e-03
1.404413e-01	2.268779e-01	1.731843e-05	1.721331e-03
1.429799e-01	2.350007e-01	1.164102e-05	1.763906e-03
1.454990e-01	2.392848e-01	1.823222e-05	1.713331e-03
1.480398e-01	2.455651e-01	1.197278e-05	2.324286e-03
1.505637e-01	2.518806e-01	1.219174e-05	1.924248e-03
1.531160e-01	2.589614e-01	1.113222e-05	1.603320e-03
1.556362e-01	2.669631e-01	1.476327e-05	2.266167e-03
1.581960e-01	2.734533e-01	1.085936e-05	1.811916e-03
1.607416e-01	2.791174e-01	1.684620e-05	1.502303e-03
1.632733e-01	2.830448e-01	1.386711e-05	1.860184e-03
1.657951e-01	2.923501e-01	9.627026e-06	1.681999e-03
1.683263e-01	2.980022e-01	9.303313e-06	1.687668e-03
1.708979e-01	3.045742e-01	1.213050e-05	2.236479e-03
1.733986e-01	3.129131e-01	8.839947e-06	1.827152e-03
1.759452e-01	3.177130e-01	1.114384e-05	2.059908e-03
1.784806e-01	3.230131e-01	1.132549e-05	1.573399e-03
1.810095e-01	3.279612e-01	1.084194e-05	1.271854e-03
1.835483e-01	3.339797e-01	1.549720e-05	1.309555e-03
1.860897e-01	3.399192e-01	6.747074e-06	1.413330e-03
1.886278e-01	3.453588e-01	8.533362e-06	8.651727e-04
1.911736e-01	3.520811e-01	1.196517e-05	1.147911e-03
1.936924e-01	3.563825e-01	8.807268e-06	1.482586e-03
1.962495e-01	3.608245e-01	1.032871e-05	9.807392e-04
1.987683e-01	3.681226e-01	7.097387e-06	1.097953e-03
2.013030e-01	3.735485e-01	9.283917e-06	1.361139e-03
2.038368e-01	3.790302e-01	1.067512e-05	9.717618e-04
2.063869e-01	3.839938e-01	8.869687e-06	1.308600e-03
2.089250e-01	3.885359e-01	9.557827e-06	5.635650e-04
2.114590e-01	3.952969e-01	7.034763e-06	1.114463e-03
2.139927e-01	3.991953e-01	7.634637e-06	8.454226e-04
2.165314e-01	4.034707e-01	6.197928e-06	9.765340e-04
2.190596e-01	4.059524e-01	8.807083e-06	6.362161e-04
2.216012e-01	4.114236e-01	7.794831e-06	7.484471e-04
2.241380e-01	4.172966e-01	8.682177e-06	1.295410e-03
2.266775e-01	4.201842e-01	9.050284e-06	9.535925e-04
2.292259e-01	4.247819e-01	1.042400e-05	1.084758e-03
2.317468e-01	4.312333e-01	1.210397e-05	7.764775e-04
2.342873e-01	4.332875e-01	8.446368e-06	9.398373e-04
2.368248e-01	4.378201e-01	4.087099e-06	9.032990e-04
2.393664e-01	4.409626e-01	8.472935e-06	7.907978e-04
2.419077e-01	4.455711e-01	9.471456e-06	5.959457e-04
