#a(fm) beta m_s*a m_ud*a
0.34 3.39479 0.222215 0.00789396
0.339 3.39583 0.220804 0.00784385
0.338 3.39686 0.219403 0.00779408
0.337 3.3979 0.218012 0.00774464
0.336 3.39895 0.216629 0.00769553
0.335 3.39999 0.215256 0.00764675
0.334 3.40104 0.213892 0.0075983
0.333 3.40209 0.212537 0.00755017
0.332 3.40314 0.211192 0.00750236
0.331 3.40419 0.209855 0.00745487
0.33 3.40525 0.208527 0.0074077
0.329 3.40631 0.207208 0.00736084
0.328 3.40737 0.205897 0.00731429
0.327 3.40843 0.204596 0.00726805
0.326 3.4095 0.203302 0.00722211
0.325 3.41057 0.202018 0.00717648
0.324 3.41164 0.200742 0.00713115
0.323 3.41271 0.199474 0.00708612
0.322 3.41379 0.198215 0.00704138
0.321 3.41487 0.196964 0.00699694
0.32 3.41595 0.195721 0.00695279
0.319 3.41703 0.194486 0.00690893
0.318 3.41812 0.19326 0.00686536
0.317 3.41921 0.192041 0.00682207
0.316 3.4203 0.190831 0.00677906
0.315 3.4214 0.189628 0.00673633
0.314 3.42249 0.188433 0.00669388
0.313 3.4236 0.187246 0.00665171
0.312 3.4247 0.186066 0.00660981
0.311 3.42581 0.184894 0.00656818
0.31 3.42691 0.18373 0.00652682
0.309 3.42803 0.182573 0.00648573
0.308 3.42914 0.181424 0.0064449
0.307 3.43026 0.180282 0.00640434
0.306 3.43138 0.179148 0.00636403
0.305 3.43251 0.17802 0.00632399
0.304 3.43363 0.1769 0.0062842
0.303 3.43476 0.175787 0.00624466
0.302 3.4359 0.174681 0.00620538
0.301 3.43703 0.173583 0.00616634
0.3 3.43817 0.172491 0.00612756
0.299 3.43932 0.171406 0.00608902
0.298 3.44046 0.170328 0.00605072
0.297 3.44161 0.169257 0.00601267
0.296 3.44276 0.168192 0.00597485
0.295 3.44392 0.167134 0.00593728
0.294 3.44508 0.166083 0.00589994
0.293 3.44624 0.165039 0.00586284
0.292 3.44741 0.164001 0.00582596
0.291 3.44858 0.162969 0.00578932
0.29 3.44975 0.161944 0.00575291
0.289 3.45093 0.160926 0.00571672
0.288 3.45211 0.159913 0.00568076
0.287 3.45329 0.158907 0.00564502
0.286 3.45448 0.157908 0.0056095
0.285 3.45567 0.156914 0.00557421
0.284 3.45686 0.155926 0.00553912
0.283 3.45806 0.154945 0.00550426
0.282 3.45927 0.153969 0.00546961
0.281 3.46047 0.153 0.00543517
0.28 3.46168 0.152037 0.00540094
0.279 3.4629 0.151079 0.00536692
0.278 3.46411 0.150127 0.00533311
0.277 3.46534 0.149181 0.00529951
0.276 3.46656 0.148241 0.0052661
0.275 3.46779 0.147306 0.0052329
0.274 3.46903 0.146377 0.0051999
0.273 3.47026 0.145454 0.0051671
0.272 3.47151 0.144536 0.00513449
0.271 3.47275 0.143624 0.00510208
0.27 3.474 0.142717 0.00506987
0.269 3.47526 0.141815 0.00503785
0.268 3.47652 0.140919 0.00500601
0.267 3.47778 0.140028 0.00497437
0.266 3.47905 0.139143 0.00494291
0.265 3.48032 0.138263 0.00491164
0.264 3.4816 0.137388 0.00488055
0.263 3.48288 0.136518 0.00484965
0.262 3.48417 0.135653 0.00481893
0.261 3.48546 0.134793 0.00478838
0.26 3.48676 0.133938 0.00475802
0.259 3.48806 0.133088 0.00472783
0.258 3.48937 0.132244 0.00469782
0.257 3.49068 0.131404 0.00466798
0.256 3.49199 0.130569 0.00463831
0.255 3.49331 0.129738 0.00460882
0.254 3.49464 0.128913 0.00457949
0.253 3.49597 0.128092 0.00455033
0.252 3.49731 0.127276 0.00452134
0.251 3.49865 0.126464 0.00449252
0.25 3.5 0.125657 0.00446385
0.249 3.50135 0.124855 0.00443535
0.248 3.50271 0.124057 0.00440701
0.247 3.50407 0.123264 0.00437883
0.246 3.50544 0.122475 0.00435081
0.245 3.50681 0.121691 0.00432295
0.244 3.5082 0.120911 0.00429524
0.243 3.50958 0.120135 0.00426768
0.242 3.51097 0.119364 0.00424028
0.241 3.51237 0.118597 0.00421303
0.24 3.51378 0.117834 0.00418593
0.239 3.51519 0.117075 0.00415898
0.238 3.5166 0.116321 0.00413218
0.237 3.51802 0.11557 0.00410552
0.236 3.51945 0.114824 0.00407901
0.235 3.52089 0.114082 0.00405264
0.234 3.52233 0.113344 0.00402642
0.233 3.52378 0.11261 0.00400034
0.232 3.52523 0.111879 0.0039744
0.231 3.52669 0.111153 0.00394859
0.23 3.52816 0.11043 0.00392293
0.229 3.52964 0.109712 0.0038974
0.228 3.53112 0.108997 0.00387201
0.227 3.53261 0.108286 0.00384675
0.226 3.5341 0.107579 0.00382163
0.225 3.53561 0.106875 0.00379663
0.224 3.53712 0.106175 0.00377177
0.223 3.53863 0.105479 0.00374704
0.222 3.54016 0.104787 0.00372243
0.221 3.54169 0.104098 0.00369796
0.22 3.54323 0.103412 0.00367361
0.219 3.54478 0.10273 0.00364938
0.218 3.54634 0.102052 0.00362528
0.217 3.5479 0.101377 0.00360131
0.216 3.54947 0.100705 0.00357745
0.215 3.55105 0.100037 0.00355372
0.214 3.55264 0.0993724 0.0035301
0.213 3.55424 0.0987111 0.00350661
0.212 3.55584 0.098053 0.00348323
0.211 3.55746 0.0973982 0.00345997
0.21 3.55908 0.0967467 0.00343683
0.209 3.56071 0.0960983 0.0034138
0.208 3.56235 0.0954532 0.00339088
0.207 3.564 0.0948113 0.00336807
0.206 3.56566 0.0941725 0.00334538
0.205 3.56733 0.0935368 0.0033228
0.204 3.56901 0.0929042 0.00330033
0.203 3.57069 0.0922747 0.00327796
0.202 3.57239 0.0916482 0.00325571
0.201 3.5741 0.0910247 0.00323356
0.2 3.57581 0.0904042 0.00321152
0.199 3.57754 0.0897866 0.00318958
0.198 3.57928 0.0891719 0.00316774
0.197 3.58103 0.0885602 0.00314601
0.196 3.58279 0.0879513 0.00312438
0.195 3.58455 0.0873452 0.00310285
0.194 3.58633 0.086742 0.00308142
0.193 3.58813 0.0861416 0.00306009
0.192 3.58993 0.0855439 0.00303886
0.191 3.59174 0.084949 0.00301773
